,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,2243.5,100,-1,76,59,0.0,0.0
1,2221.0,100,-1,94,62,0.0,0.0
2,2229.5,98,69,84,73,0.0,0.0
3,2226.5,98,62,94,66,0.0,0.0
4,2219.5,99,53,88,50,0.0,0.0
5,2242.5,99,1,91,72,0.0,0.0
6,2152.5,98,75,100,75,0.0,0.0
7,2290.5,99,1,91,60,0.0,0.0
8,2216.0,98,39,94,63,0.0,0.0
9,2251.5,98,25,89,60,0.0,0.0
0,2277.5,98,8,97,84,0.0,0.1
1,2251.5,99,40,96,59,0.0,0.1
2,2220.0,98,24,95,64,0.0,0.1
3,2241.5,100,-1,93,56,0.0,0.1
4,2260.5,100,-1,76,67,0.0,0.1
5,2175.5,99,1,98,67,0.0,0.1
6,2307.5,99,37,99,73,0.0,0.1
7,2255.0,99,55,79,68,0.0,0.1
8,2271.0,97,79,91,64,0.0,0.1
9,2256.5,98,67,96,59,0.0,0.1
0,2222.0,100,-1,87,61,0.0,0.2
1,2203.0,99,1,92,73,0.0,0.2
2,2222.0,99,1,100,76,0.0,0.2
3,2296.0,100,-1,97,64,0.0,0.2
4,2286.0,99,1,88,63,0.0,0.2
5,2242.0,97,91,93,73,0.0,0.2
6,2222.5,97,65,98,67,0.0,0.2
7,2152.5,97,75,97,78,0.0,0.2
8,2251.0,99,9,95,65,0.0,0.2
9,2298.0,99,41,92,51,0.0,0.2
0,2297.5,99,3,98,60,0.0,0.3
1,2289.0,99,15,99,71,0.0,0.3
2,2378.0,97,89,100,55,0.0,0.3
3,2228.5,98,17,100,65,0.0,0.3
4,2240.5,97,81,100,69,0.0,0.3
5,2215.0,100,-1,95,66,0.0,0.3
6,2222.5,97,4,96,62,0.0,0.3
7,2252.0,99,10,93,57,0.0,0.3
8,2188.5,99,45,99,60,0.0,0.3
9,2226.0,98,53,98,60,0.0,0.3
0,2204.0,98,51,99,60,0.0,0.4
1,2167.0,100,-1,96,55,0.0,0.4
2,2265.5,97,93,100,62,0.0,0.4
3,2342.0,98,87,100,51,0.0,0.4
4,2295.0,99,25,98,64,0.0,0.4
5,2583.5,73,94,98,70,0.0,0.4
6,2258.5,100,-1,99,53,0.0,0.4
7,2246.0,98,6,100,61,0.0,0.4
8,2335.0,99,99,99,51,0.0,0.4
9,2216.0,99,1,98,61,0.0,0.4
0,2268.0,99,1,83,52,0.0,0.5
1,2300.5,44,100,100,72,0.0,0.5
2,2237.0,70,99,99,76,0.0,0.5
3,2221.5,100,-1,100,63,0.0,0.5
4,2209.0,100,-1,98,58,0.0,0.5
5,2227.5,98,42,100,70,0.0,0.5
6,2535.0,89,88,100,60,0.0,0.5
7,2199.5,99,57,91,51,0.0,0.5
8,2335.5,75,97,97,77,0.0,0.5
9,2165.0,98,19,94,55,0.0,0.5
0,2348.0,99,64,99,64,0.0,0.6
1,2203.0,56,100,100,71,0.0,0.6
2,2821.5,87,84,100,55,0.0,0.6
3,1963.0,80,99,100,64,0.0,0.6
4,2116.5,82,83,100,69,0.0,0.6
5,2362.5,98,78,100,54,0.0,0.6
6,1796.0,27,99,100,76,0.0,0.6
7,2322.0,99,63,97,48,0.0,0.6
8,2318.0,97,36,100,61,0.0,0.6
9,2171.5,98,2,100,62,0.0,0.6
0,2887.0,65,97,100,83,0.0,0.7
1,2174.5,99,2,97,59,0.0,0.7
2,2374.5,100,-1,100,63,0.0,0.7
3,2258.0,97,96,99,55,0.0,0.7
4,2222.0,98,4,100,63,0.0,0.7
5,2842.0,91,91,100,67,0.0,0.7
6,2408.5,98,77,100,47,0.0,0.7
7,2444.0,98,63,95,48,0.0,0.7
8,2407.0,96,37,94,61,0.0,0.7
9,2414.5,78,95,97,55,0.0,0.7
0,2360.5,98,40,97,48,0.0,0.8
1,2260.0,99,1,91,70,0.0,0.8
2,2369.0,68,98,100,80,0.0,0.8
3,2554.5,84,90,99,65,0.0,0.8
4,2309.0,100,-1,100,59,0.0,0.8
5,1944.5,83,91,100,66,0.0,0.8
6,1969.0,56,100,100,78,0.0,0.8
7,2171.0,100,-1,100,55,0.0,0.8
8,2079.5,90,88,100,69,0.0,0.8
9,2085.0,71,96,100,69,0.0,0.8
0,2378.0,97,57,95,62,0.0,0.9
1,2296.0,97,98,98,63,0.0,0.9
2,2633.5,69,100,100,66,0.0,0.9
3,2384.0,96,97,97,53,0.0,0.9
4,2002.0,90,100,100,77,0.0,0.9
5,2235.5,99,28,100,63,0.0,0.9
6,2590.0,75,96,98,74,0.0,0.9
7,2131.0,88,100,100,55,0.0,0.9
8,2599.5,68,99,99,76,0.0,0.9
9,2236.0,98,57,100,69,0.0,0.9
0,2221.5,82,96,100,61,0.0,1.0
1,2239.0,98,23,100,51,0.0,1.0
2,2816.5,96,98,100,65,0.0,1.0
3,2908.0,93,94,100,61,0.0,1.0
4,3198.5,61,100,100,59,0.0,1.0
5,2294.5,72,99,99,70,0.0,1.0
6,2534.5,89,87,100,63,0.0,1.0
7,2193.5,97,12,98,60,0.0,1.0
8,2532.0,75,89,97,73,0.0,1.0
9,2119.0,85,89,100,66,0.0,1.0
