,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,128.5,24,100,100,110,0.0,0.0
1,84.0,19,100,100,129,0.0,0.0
2,23.0,21,100,100,100,0.0,0.0
3,52.5,20,99,100,96,0.0,0.0
4,54.0,23,100,100,117,0.0,0.0
5,-32.5,18,100,100,104,0.0,0.0
6,45.0,21,100,100,128,0.0,0.0
7,-128.5,14,100,100,110,0.0,0.0
8,43.0,23,100,100,103,0.0,0.0
9,3.0,16,100,100,107,0.0,0.0
0,-88.5,15,99,100,118,0.0,0.1
1,-30.5,16,98,100,114,0.0,0.1
2,-93.5,19,100,100,113,0.0,0.1
3,116.5,24,100,100,106,0.0,0.1
4,34.5,22,100,100,131,0.0,0.1
5,126.0,26,99,100,100,0.0,0.1
6,54.5,22,100,100,106,0.0,0.1
7,141.0,27,98,100,114,0.0,0.1
8,-10.0,17,100,100,110,0.0,0.1
9,-196.5,9,100,100,114,0.0,0.1
0,23.0,21,100,100,102,0.0,0.2
1,-29.0,17,100,100,116,0.0,0.2
2,97.5,18,100,100,111,0.0,0.2
3,49.0,22,99,100,128,0.0,0.2
4,30.5,20,99,100,109,0.0,0.2
5,-97.0,14,100,100,124,0.0,0.2
6,-112.5,11,100,100,121,0.0,0.2
7,46.0,24,99,100,99,0.0,0.2
8,92.0,29,100,100,108,0.0,0.2
9,27.5,19,100,100,105,0.0,0.2
0,143.5,26,99,100,109,0.0,0.3
1,-80.0,16,100,100,114,0.0,0.3
2,28.5,20,100,100,113,0.0,0.3
3,-20.5,18,100,100,115,0.0,0.3
4,93.5,21,100,100,130,0.0,0.3
5,148.5,21,100,100,100,0.0,0.3
6,-75.5,16,100,100,102,0.0,0.3
7,-7.0,21,99,100,112,0.0,0.3
8,14.0,24,99,100,107,0.0,0.3
9,105.0,22,100,100,106,0.0,0.3
0,59.0,21,99,100,116,0.0,0.4
1,-20.0,20,100,100,115,0.0,0.4
2,-30.5,22,100,100,124,0.0,0.4
3,-37.5,18,100,100,113,0.0,0.4
4,28.5,21,100,100,101,0.0,0.4
5,-116.0,19,100,100,113,0.0,0.4
6,116.0,18,100,100,117,0.0,0.4
7,80.0,19,100,100,112,0.0,0.4
8,-62.5,16,100,100,114,0.0,0.4
9,24.0,23,100,100,106,0.0,0.4
0,117.5,22,100,100,119,0.0,0.5
1,64.5,20,99,100,110,0.0,0.5
2,137.5,23,98,100,106,0.0,0.5
3,45.0,28,100,100,113,0.0,0.5
4,19.0,21,99,100,116,0.0,0.5
5,54.5,19,100,100,101,0.0,0.5
6,28.0,16,100,100,102,0.0,0.5
7,-10.5,16,100,100,108,0.0,0.5
8,18.0,19,100,100,110,0.0,0.5
9,-87.5,15,99,100,113,0.0,0.5
0,177.0,20,100,100,117,0.0,0.6
1,37.5,18,100,100,116,0.0,0.6
2,-6.0,18,100,100,118,0.0,0.6
3,-119.0,12,100,100,117,0.0,0.6
4,78.0,21,98,100,108,0.0,0.6
5,-17.5,20,99,100,115,0.0,0.6
6,146.5,25,100,100,108,0.0,0.6
7,25.0,23,100,100,98,0.0,0.6
8,43.5,20,100,100,95,0.0,0.6
9,191.0,28,99,99,115,0.0,0.6
0,127.5,25,100,100,107,0.0,0.7
1,39.5,22,100,100,98,0.0,0.7
2,-56.0,14,100,100,113,0.0,0.7
3,125.5,27,100,100,118,0.0,0.7
4,-124.0,9,100,100,117,0.0,0.7
5,80.0,19,100,100,123,0.0,0.7
6,41.5,21,100,100,103,0.0,0.7
7,47.0,18,100,100,114,0.0,0.7
8,-4.0,24,99,100,109,0.0,0.7
9,-15.5,19,100,100,102,0.0,0.7
0,10.0,21,99,100,114,0.0,0.8
1,93.5,25,99,99,100,0.0,0.8
2,56.0,20,100,100,110,0.0,0.8
3,11.5,21,99,100,119,0.0,0.8
4,-66.5,15,100,100,135,0.0,0.8
5,-142.5,13,98,100,118,0.0,0.8
6,-82.0,19,100,100,112,0.0,0.8
7,-26.0,22,100,100,93,0.0,0.8
8,-5.5,20,98,100,112,0.0,0.8
9,5.5,23,100,100,94,0.0,0.8
0,-75.5,16,100,100,126,0.0,0.9
1,-99.0,18,100,100,114,0.0,0.9
2,-62.5,17,100,100,108,0.0,0.9
3,51.0,19,100,100,112,0.0,0.9
4,-4.0,16,99,100,115,0.0,0.9
5,64.0,19,100,100,112,0.0,0.9
6,68.0,19,100,100,105,0.0,0.9
7,102.0,23,99,100,112,0.0,0.9
8,46.5,22,100,100,116,0.0,0.9
9,-57.0,16,100,100,133,0.0,0.9
0,74.0,21,100,100,126,0.0,1.0
1,-75.5,16,99,100,113,0.0,1.0
2,103.0,21,100,100,119,0.0,1.0
3,-141.0,14,99,100,102,0.0,1.0
4,59.5,25,100,100,111,0.0,1.0
5,-48.5,21,100,100,109,0.0,1.0
6,103.0,21,100,100,110,0.0,1.0
7,-56.5,20,100,100,107,0.0,1.0
8,24.0,21,99,100,116,0.0,1.0
