,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,2201.0,99,1,66,41,0.0,0.0
1,2178.0,100,-1,76,45,0.0,0.0
2,2248.5,100,-1,66,40,0.0,0.0
3,2175.0,99,52,100,33,0.0,0.0
4,2198.5,100,-1,78,33,0.0,0.0
5,2254.5,99,76,100,35,0.0,0.0
6,2205.0,100,-1,80,43,0.0,0.0
7,2239.0,100,-1,96,44,0.0,0.0
8,2201.5,100,-1,83,39,0.0,0.0
9,2210.5,100,-1,94,37,0.0,0.0
0,2233.5,100,-1,82,32,0.0,0.1
1,2209.5,99,100,94,35,0.0,0.1
2,2201.5,100,-1,91,47,0.0,0.1
3,2231.0,99,3,50,28,0.0,0.1
4,2243.5,100,-1,98,40,0.0,0.1
5,2238.0,99,1,73,36,0.0,0.1
6,2192.5,100,-1,54,30,0.0,0.1
7,2242.5,99,22,61,38,0.0,0.1
8,2242.5,100,-1,100,32,0.0,0.1
9,2245.5,100,-1,70,32,0.0,0.1
0,2189.0,99,1,98,39,0.0,0.2
1,2168.5,99,1,93,40,0.0,0.2
2,2226.5,100,-1,93,38,0.0,0.2
3,2204.5,100,-1,97,32,0.0,0.2
4,2202.0,99,1,95,31,0.0,0.2
5,2199.5,99,1,98,46,0.0,0.2
6,2199.5,99,1,58,37,0.0,0.2
7,2208.5,99,2,98,38,0.0,0.2
8,2195.5,100,-1,74,30,0.0,0.2
9,2297.5,100,-1,95,35,0.0,0.2
0,2198.5,99,1,91,33,0.0,0.3
1,2178.5,98,76,85,32,0.0,0.3
2,2276.0,100,-1,99,36,0.0,0.3
3,2204.5,97,93,86,37,0.0,0.3
4,2300.5,92,31,93,42,0.0,0.3
5,2336.5,100,-1,99,28,0.0,0.3
6,2236.0,98,18,96,30,0.0,0.3
7,2268.5,99,1,86,28,0.0,0.3
8,2204.0,100,-1,86,37,0.0,0.3
9,2232.5,98,10,99,38,0.0,0.3
0,2265.5,98,13,72,38,0.0,0.4
1,2140.0,97,9,88,36,0.0,0.4
2,2357.0,98,98,100,30,0.0,0.4
3,2318.5,68,100,100,42,0.0,0.4
4,2202.0,99,1,98,34,0.0,0.4
5,2188.5,100,-1,94,30,0.0,0.4
6,2237.5,99,61,95,36,0.0,0.4
7,2714.5,72,100,100,42,0.0,0.4
8,2268.0,99,58,98,38,0.0,0.4
9,2245.0,96,72,87,43,0.0,0.4
0,2006.5,89,98,100,34,0.0,0.5
1,2305.5,97,66,97,44,0.0,0.5
2,2271.0,99,8,99,34,0.0,0.5
3,2188.5,99,75,98,35,0.0,0.5
4,2422.5,99,1,97,41,0.0,0.5
5,2283.5,100,-1,89,27,0.0,0.5
6,2174.5,99,57,93,33,0.0,0.5
7,2279.5,89,88,100,39,0.0,0.5
8,2302.5,99,9,100,40,0.0,0.5
9,2271.5,100,-1,97,29,0.0,0.5
0,2259.5,100,-1,99,36,0.0,0.6
1,2542.0,87,70,99,33,0.0,0.6
2,2303.0,100,-1,99,34,0.0,0.6
3,2710.5,79,98,100,38,0.0,0.6
4,2222.5,99,1,95,37,0.0,0.6
5,2498.0,65,98,99,45,0.0,0.6
6,2775.5,95,56,100,34,0.0,0.6
7,2252.5,100,-1,100,38,0.0,0.6
8,2329.5,99,1,100,34,0.0,0.6
9,2387.0,99,1,99,34,0.0,0.6
0,2263.0,98,18,98,32,0.0,0.7
1,1928.5,85,96,100,40,0.0,0.7
2,2259.5,97,30,98,30,0.0,0.7
3,3516.0,57,100,100,38,0.0,0.7
4,2195.5,83,95,100,35,0.0,0.7
5,2284.0,100,-1,99,31,0.0,0.7
6,2711.5,62,96,96,44,0.0,0.7
7,2179.5,88,84,100,32,0.0,0.7
8,2202.5,99,1,99,33,0.0,0.7
9,2311.0,66,100,100,41,0.0,0.7
0,2744.5,92,89,100,30,0.0,0.8
1,2254.0,99,1,95,38,0.0,0.8
2,1963.0,85,99,100,38,0.0,0.8
3,1519.5,46,100,100,34,0.0,0.8
4,2348.5,76,100,100,35,0.0,0.8
5,2062.5,81,97,100,37,0.0,0.8
6,2223.5,98,36,88,36,0.0,0.8
7,2234.0,100,-1,100,35,0.0,0.8
8,2111.0,94,97,100,47,0.0,0.8
9,2196.5,80,93,100,34,0.0,0.8
0,2995.0,95,99,100,38,0.0,0.9
1,2292.0,99,37,96,21,0.0,0.9
2,2250.5,99,1,91,38,0.0,0.9
3,2087.0,60,100,100,37,0.0,0.9
4,2199.5,97,69,98,30,0.0,0.9
5,2201.5,99,2,100,30,0.0,0.9
6,2226.5,100,-1,99,34,0.0,0.9
7,2197.5,98,13,84,40,0.0,0.9
8,2001.0,77,95,100,32,0.0,0.9
9,2273.5,100,-1,100,28,0.0,0.9
0,2315.0,100,-1,99,29,0.0,1.0
1,2081.0,90,98,100,37,0.0,1.0
2,2326.0,99,1,99,31,0.0,1.0
3,2127.0,91,94,100,33,0.0,1.0
4,2114.0,90,99,100,45,0.0,1.0
5,2188.5,100,-1,97,34,0.0,1.0
6,2293.5,95,62,100,36,0.0,1.0
7,2428.5,65,100,100,33,0.0,1.0
8,2258.0,100,-1,87,36,0.0,1.0
9,2816.0,89,98,100,38,0.0,1.0
