,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,142.0,25,100,100,62,0.0,0.0
1,-25.5,16,100,100,62,0.0,0.0
2,58.5,21,100,100,54,0.0,0.0
3,11.0,20,100,100,61,0.0,0.0
4,32.0,26,98,100,64,0.0,0.0
5,-66.5,21,100,100,58,0.0,0.0
6,-42.5,14,100,100,61,0.0,0.0
7,56.0,21,100,100,62,0.0,0.0
8,34.0,25,100,100,61,0.0,0.0
9,1.0,19,98,100,54,0.0,0.0
0,-108.0,16,100,100,60,0.0,0.1
1,-7.0,22,100,100,72,0.0,0.1
2,186.0,23,96,100,68,0.0,0.1
3,23.0,23,100,100,54,0.0,0.1
4,-20.0,16,100,100,59,0.0,0.1
5,82.5,27,100,100,66,0.0,0.1
6,-140.0,14,100,100,64,0.0,0.1
7,43.0,23,99,100,71,0.0,0.1
8,66.5,21,100,100,50,0.0,0.1
9,-58.5,22,100,100,59,0.0,0.1
0,-76.5,19,99,100,60,0.0,0.2
1,34.0,20,100,100,57,0.0,0.2
2,23.5,14,100,100,57,0.0,0.2
3,143.5,26,99,100,58,0.0,0.2
4,-38.0,16,100,100,63,0.0,0.2
5,-26.0,19,100,100,57,0.0,0.2
6,41.5,22,100,100,55,0.0,0.2
7,101.0,27,100,100,57,0.0,0.2
8,17.5,28,99,100,59,0.0,0.2
9,35.0,21,100,100,60,0.0,0.2
0,-44.5,20,99,100,63,0.0,0.3
1,-93.5,12,100,100,67,0.0,0.3
2,-19.0,18,100,100,69,0.0,0.3
3,8.0,13,100,100,61,0.0,0.3
4,125.0,31,100,100,59,0.0,0.3
5,101.5,19,100,100,57,0.0,0.3
6,-21.5,19,100,100,60,0.0,0.3
7,34.0,22,100,100,54,0.0,0.3
8,-32.0,20,100,100,62,0.0,0.3
9,-16.0,17,100,100,59,0.0,0.3
0,-18.0,10,100,100,58,0.0,0.4
1,15.5,17,100,100,59,0.0,0.4
2,51.0,20,100,100,66,0.0,0.4
3,39.5,19,100,100,57,0.0,0.4
4,86.0,25,100,100,57,0.0,0.4
5,123.5,25,100,100,62,0.0,0.4
6,59.5,25,100,100,65,0.0,0.4
7,-90.5,13,100,100,64,0.0,0.4
8,-35.0,19,100,100,58,0.0,0.4
9,212.0,28,100,100,59,0.0,0.4
0,-28.5,13,100,100,59,0.0,0.5
1,29.5,24,99,100,64,0.0,0.5
2,-48.0,18,100,100,61,0.0,0.5
3,-30.0,19,100,100,55,0.0,0.5
4,101.5,21,99,100,66,0.0,0.5
5,28.0,16,100,100,61,0.0,0.5
6,-47.5,17,100,100,64,0.0,0.5
7,46.0,20,100,100,67,0.0,0.5
8,43.5,17,100,100,65,0.0,0.5
9,-10.0,19,100,100,60,0.0,0.5
0,14.0,27,99,100,63,0.0,0.6
1,153.5,24,100,100,63,0.0,0.6
2,84.5,28,100,100,68,0.0,0.6
3,-17.5,18,100,100,65,0.0,0.6
4,12.5,23,100,100,59,0.0,0.6
5,87.5,24,100,100,65,0.0,0.6
6,-98.0,16,100,100,63,0.0,0.6
7,-11.0,20,100,100,65,0.0,0.6
8,-11.5,16,100,100,58,0.0,0.6
9,80.5,23,98,100,52,0.0,0.6
0,-41.5,15,100,100,58,0.0,0.7
1,0.0,25,99,100,61,0.0,0.7
2,33.5,20,100,100,60,0.0,0.7
3,-53.5,19,99,100,59,0.0,0.7
4,10.0,18,100,100,63,0.0,0.7
5,-31.5,20,100,100,59,0.0,0.7
6,-34.0,17,100,100,59,0.0,0.7
7,99.0,20,100,100,60,0.0,0.7
8,108.0,25,100,100,58,0.0,0.7
9,-118.0,18,100,100,57,0.0,0.7
0,198.5,27,100,100,65,0.0,0.8
1,26.0,16,100,100,65,0.0,0.8
2,42.5,20,100,100,58,0.0,0.8
3,34.5,22,100,100,61,0.0,0.8
4,110.0,23,100,100,63,0.0,0.8
5,139.5,25,100,100,62,0.0,0.8
6,61.5,25,100,100,61,0.0,0.8
7,46.0,22,99,100,61,0.0,0.8
8,-90.0,16,100,100,60,0.0,0.8
9,0.5,19,100,100,63,0.0,0.8
0,-71.0,20,100,100,61,0.0,0.9
1,6.5,18,100,100,60,0.0,0.9
2,17.0,17,100,100,61,0.0,0.9
3,59.0,26,100,100,61,0.0,0.9
4,-39.5,18,100,100,59,0.0,0.9
5,133.5,20,100,100,66,0.0,0.9
6,-30.0,19,100,100,61,0.0,0.9
7,-20.5,17,100,100,55,0.0,0.9
8,77.0,25,100,100,67,0.0,0.9
9,-94.5,21,99,100,65,0.0,0.9
0,-29.5,17,100,100,56,0.0,1.0
1,27.5,25,100,100,61,0.0,1.0
2,14.5,19,100,100,61,0.0,1.0
3,10.5,20,100,100,61,0.0,1.0
4,100.0,22,100,100,62,0.0,1.0
5,19.5,20,100,100,59,0.0,1.0
6,15.5,21,100,100,69,0.0,1.0
7,59.0,18,100,100,66,0.0,1.0
8,59.0,19,100,100,60,0.0,1.0
9,4.0,21,100,100,58,0.0,1.0
0,2219.5,100,-1,87,43,0.1,0.0
1,2209.5,99,1,100,44,0.1,0.0
2,2136.5,98,80,97,42,0.1,0.0
3,2215.0,99,2,82,35,0.1,0.0
4,2260.0,99,3,82,38,0.1,0.0
5,2256.5,100,-1,87,38,0.1,0.0
6,2275.5,100,-1,98,48,0.1,0.0
7,2290.5,99,1,95,38,0.1,0.0
8,2211.5,100,-1,94,43,0.1,0.0
9,2268.5,100,-1,99,32,0.1,0.0
0,2208.5,99,1,87,31,0.1,0.1
1,2179.0,100,-1,93,45,0.1,0.1
2,2193.0,100,-1,87,39,0.1,0.1
3,1072.0,36,100,79,49,0.1,0.1
4,2196.5,99,2,63,36,0.1,0.1
5,2244.0,99,21,93,30,0.1,0.1
6,2211.0,99,1,100,38,0.1,0.1
7,2188.0,99,18,81,39,0.1,0.1
8,2251.0,99,1,100,31,0.1,0.1
9,2163.5,99,53,94,43,0.1,0.1
0,2239.5,99,1,99,33,0.1,0.2
1,2228.0,100,-1,74,38,0.1,0.2
2,2182.0,98,18,83,39,0.1,0.2
3,2247.0,97,76,75,41,0.1,0.2
4,2292.0,100,-1,96,34,0.1,0.2
5,2237.5,98,23,89,38,0.1,0.2
6,2213.0,100,-1,82,37,0.1,0.2
7,2241.5,100,-1,75,35,0.1,0.2
8,2174.0,98,89,99,40,0.1,0.2
9,2298.0,99,1,71,37,0.1,0.2
0,2205.5,98,19,83,31,0.1,0.3
1,2268.5,99,60,98,31,0.1,0.3
2,2217.0,100,-1,90,37,0.1,0.3
3,2283.5,100,-1,90,32,0.1,0.3
4,2319.5,99,1,86,29,0.1,0.3
5,2146.5,100,-1,99,32,0.1,0.3
6,2311.5,100,-1,89,34,0.1,0.3
7,2264.5,100,-1,93,31,0.1,0.3
8,2204.0,100,-1,95,31,0.1,0.3
9,2180.5,100,-1,89,38,0.1,0.3
0,2219.0,99,1,94,35,0.1,0.4
1,2198.0,97,74,92,32,0.1,0.4
2,2342.5,99,68,88,29,0.1,0.4
3,2216.0,99,1,100,38,0.1,0.4
4,2193.5,99,1,98,38,0.1,0.4
5,2292.5,67,96,99,43,0.1,0.4
6,2200.0,99,1,95,34,0.1,0.4
7,2281.5,97,92,98,41,0.1,0.4
8,2208.5,97,59,98,27,0.1,0.4
9,2176.0,99,1,97,37,0.1,0.4
0,2141.5,100,-1,86,29,0.1,0.5
1,2262.0,98,88,98,39,0.1,0.5
2,2219.0,100,-1,98,40,0.1,0.5
3,2215.0,99,1,89,33,0.1,0.5
4,2225.5,100,-1,90,38,0.1,0.5
5,2166.5,95,78,100,42,0.1,0.5
6,2291.0,99,67,100,31,0.1,0.5
7,2221.5,100,-1,86,35,0.1,0.5
8,2274.5,99,1,97,33,0.1,0.5
9,2176.5,98,54,100,29,0.1,0.5
0,2203.5,99,95,95,37,0.1,0.6
1,2764.0,72,97,98,41,0.1,0.6
2,2797.0,70,99,100,40,0.1,0.6
3,2230.0,100,-1,100,40,0.1,0.6
4,2234.0,100,-1,99,37,0.1,0.6
5,2228.5,99,1,74,35,0.1,0.6
6,2263.5,100,-1,88,34,0.1,0.6
7,2232.0,100,-1,74,33,0.1,0.6
8,2172.0,99,46,85,29,0.1,0.6
9,2215.0,100,-1,99,37,0.1,0.6
0,2204.0,99,43,91,37,0.1,0.7
1,2290.0,98,71,100,42,0.1,0.7
2,2222.0,99,28,99,32,0.1,0.7
3,2353.0,98,59,98,25,0.1,0.7
4,2209.5,98,66,98,34,0.1,0.7
5,2259.5,99,98,99,35,0.1,0.7
6,2232.0,100,-1,47,37,0.1,0.7
7,2302.5,100,-1,97,28,0.1,0.7
8,2211.5,99,53,95,34,0.1,0.7
9,2223.5,100,-1,96,31,0.1,0.7
0,1983.0,85,100,100,38,0.1,0.8
1,2290.5,99,5,97,39,0.1,0.8
2,2293.0,100,-1,100,29,0.1,0.8
3,2211.5,98,46,88,28,0.1,0.8
4,2286.5,99,2,97,37,0.1,0.8
5,2208.0,100,-1,58,40,0.1,0.8
6,2200.5,87,95,100,34,0.1,0.8
7,2259.0,99,1,92,33,0.1,0.8
8,2197.0,94,82,97,38,0.1,0.8
9,2233.0,98,28,96,41,0.1,0.8
0,2169.0,100,-1,65,32,0.1,0.9
1,2369.0,100,-1,99,31,0.1,0.9
2,2203.0,99,1,86,40,0.1,0.9
3,2272.0,100,-1,100,25,0.1,0.9
4,2183.0,99,95,95,33,0.1,0.9
5,2251.0,99,1,99,29,0.1,0.9
6,2320.0,100,-1,99,37,0.1,0.9
7,2269.5,99,73,97,34,0.1,0.9
8,2213.0,99,1,99,37,0.1,0.9
9,2328.0,100,-1,100,29,0.1,0.9
0,2240.5,98,57,99,33,0.1,1.0
1,2365.0,83,100,100,38,0.1,1.0
2,2213.0,98,21,99,37,0.1,1.0
3,2392.5,99,73,96,29,0.1,1.0
4,2429.5,67,100,100,39,0.1,1.0
5,2201.0,98,97,97,31,0.1,1.0
6,2304.5,100,-1,100,38,0.1,1.0
7,2169.0,100,-1,39,30,0.1,1.0
8,2221.5,99,58,83,27,0.1,1.0
9,2629.0,47,100,100,35,0.1,1.0
0,2173.0,100,-1,94,35,0.2,0.0
1,2182.5,100,-1,69,46,0.2,0.0
2,2194.0,98,25,89,44,0.2,0.0
3,2214.5,100,-1,94,37,0.2,0.0
4,2202.0,98,32,68,35,0.2,0.0
5,2182.5,100,-1,98,39,0.2,0.0
6,2223.0,98,10,99,48,0.2,0.0
7,2186.0,99,85,98,33,0.2,0.0
8,2241.5,100,-1,78,29,0.2,0.0
9,2207.0,100,-1,86,41,0.2,0.0
0,2247.5,100,-1,88,36,0.2,0.1
1,2244.0,100,-1,93,31,0.2,0.1
2,2244.5,99,1,100,36,0.2,0.1
3,2315.5,100,-1,60,40,0.2,0.1
4,2287.0,100,-1,83,36,0.2,0.1
5,2232.0,100,-1,97,36,0.2,0.1
6,2210.0,100,-1,85,31,0.2,0.1
7,2251.5,99,1,95,47,0.2,0.1
8,2192.0,99,1,93,35,0.2,0.1
9,2240.5,100,-1,91,33,0.2,0.1
0,2161.0,98,22,93,39,0.2,0.2
1,2220.5,100,-1,98,36,0.2,0.2
2,2178.0,98,3,91,34,0.2,0.2
3,2184.5,99,1,64,38,0.2,0.2
4,2251.0,100,-1,96,35,0.2,0.2
5,2308.5,100,-1,100,38,0.2,0.2
6,2230.5,98,91,92,42,0.2,0.2
7,2214.0,100,-1,81,33,0.2,0.2
8,2251.0,100,-1,91,34,0.2,0.2
9,2214.5,99,1,100,35,0.2,0.2
0,2314.5,100,-1,96,42,0.2,0.3
1,2221.0,99,1,98,33,0.2,0.3
2,2202.0,98,70,71,33,0.2,0.3
3,2196.5,99,23,99,33,0.2,0.3
4,2186.0,99,1,99,32,0.2,0.3
5,2211.0,99,1,96,37,0.2,0.3
6,2235.0,97,54,91,27,0.2,0.3
7,2208.0,100,-1,96,34,0.2,0.3
8,2268.0,99,59,85,35,0.2,0.3
9,2193.5,100,-1,100,36,0.2,0.3
0,2313.0,69,98,100,41,0.2,0.4
1,2274.0,100,-1,89,30,0.2,0.4
2,2270.0,100,-1,99,32,0.2,0.4
3,2184.0,98,61,96,35,0.2,0.4
4,2206.0,100,-1,62,26,0.2,0.4
5,2256.0,100,-1,96,34,0.2,0.4
6,2175.0,100,-1,95,33,0.2,0.4
7,2209.5,100,-1,100,25,0.2,0.4
8,2193.5,99,1,94,36,0.2,0.4
9,2215.0,99,14,96,38,0.2,0.4
0,2216.0,100,-1,98,34,0.2,0.5
1,2326.0,100,-1,99,34,0.2,0.5
2,2288.0,100,-1,99,43,0.2,0.5
3,2210.0,85,96,100,45,0.2,0.5
4,2430.5,75,99,99,49,0.2,0.5
5,2224.0,98,3,84,36,0.2,0.5
6,2161.0,94,78,100,41,0.2,0.5
7,2155.0,97,6,78,36,0.2,0.5
8,2379.5,76,96,100,42,0.2,0.5
9,2287.0,99,3,100,40,0.2,0.5
0,2022.0,82,92,100,42,0.2,0.6
1,2207.0,100,-1,99,29,0.2,0.6
2,2223.5,100,-1,62,35,0.2,0.6
3,2088.5,86,87,100,40,0.2,0.6
4,2317.5,99,1,100,35,0.2,0.6
5,2417.0,77,98,100,38,0.2,0.6
6,2792.0,98,54,100,33,0.2,0.6
7,2265.0,100,-1,96,33,0.2,0.6
8,2305.5,71,100,100,36,0.2,0.6
9,2281.0,99,65,91,47,0.2,0.6
0,2413.5,99,98,100,34,0.2,0.7
