,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals
0,2238.5,99,27,96,67
1,2173.0,100,-1,81,65
2,2238.0,99,94,100,60
3,2271.5,98,41,76,67
4,2227.0,100,-1,99,65
5,2230.0,99,37,97,61
6,2177.0,100,-1,91,63
7,2215.0,99,17,97,48
8,2228.0,99,84,93,58
9,2230.0,100,-1,97,67
10,2242.5,98,14,87,59
11,2253.5,99,63,85,59
12,2318.5,100,-1,98,54
13,2261.5,100,-1,98,65
14,2184.5,100,-1,95,52
15,2262.5,97,54,99,63
16,2283.0,100,-1,83,53
17,2253.5,100,-1,96,67
18,2185.0,100,-1,97,67
19,2218.5,100,-1,95,56
20,2288.0,99,54,93,68
21,2278.0,99,91,98,75
22,2157.5,97,47,97,64
23,2241.0,100,-1,86,56
24,2203.5,99,69,99,61
25,2253.5,99,84,94,62
26,2243.0,99,59,99,72
27,2308.0,99,2,95,70
28,2205.5,99,3,99,71
29,2169.5,98,37,77,44
30,2231.5,100,-1,98,65
31,2346.0,97,96,99,56
32,2131.0,99,1,98,66
33,2211.0,100,-1,99,69
34,2275.0,100,-1,88,47
35,2239.0,98,88,91,78
36,2314.0,100,-1,84,65
37,2238.5,99,1,93,69
38,2253.5,99,1,100,65
39,2229.0,99,6,99,70
40,2256.5,99,1,96,68
41,2204.5,97,55,100,63
42,2275.5,98,35,92,67
43,2227.0,98,40,96,73
44,2139.5,98,45,85,57
45,2162.5,98,60,90,71
46,2253.5,99,1,95,74
47,2209.5,98,39,99,77
48,2206.0,100,-1,97,57
49,2285.0,98,70,98,63
50,2306.5,100,-1,95,67
51,2202.0,98,12,99,63
52,2248.0,100,-1,98,50
53,2272.0,100,-1,93,72
54,2295.5,100,-1,100,66
55,2288.0,99,3,99,62
56,2211.5,98,75,98,66
57,2262.5,99,52,95,58
58,2229.0,99,1,97,64
59,2245.0,94,92,97,73
60,2296.0,100,-1,99,56
61,2265.0,99,42,100,46
62,2228.0,98,58,96,55
63,2273.5,99,95,95,77
64,2158.0,97,95,88,63
65,2217.5,100,-1,95,80
66,2213.5,99,10,90,70
67,2285.5,99,56,100,52
68,2182.0,99,33,83,55
69,2209.5,99,6,100,57
70,2161.0,99,21,98,62
71,2219.5,99,84,94,62
72,2198.0,98,31,89,64
73,2230.0,99,1,98,67
74,2165.0,100,-1,98,65
75,2251.5,98,87,99,56
76,2205.5,100,-1,87,62
77,2216.0,99,20,81,64
78,2173.5,99,1,91,73
79,2272.5,98,19,89,73
80,2252.5,100,-1,97,66
81,2196.0,99,17,97,69
82,2192.0,99,16,100,68
83,2227.0,99,1,85,67
84,2239.5,100,-1,93,60
85,2241.0,100,-1,92,71
86,2168.5,98,34,79,72
87,2216.5,99,52,97,74
88,2295.0,99,56,98,73
89,2259.5,97,49,97,74
90,2253.0,99,1,97,61
91,2249.0,100,-1,96,62
92,2251.0,99,1,99,71
93,2365.0,100,-1,97,66
94,2108.5,93,52,96,54
95,2226.5,99,62,98,62
96,2182.0,99,77,97,72
97,2224.5,99,85,92,61
98,2276.0,99,2,97,80
99,2330.5,98,94,97,56
