,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,2265.5,99,62,99,49,0.0,0.0
1,2275.0,100,-1,95,47,0.0,0.0
2,2266.5,99,5,100,42,0.0,0.0
3,2262.5,98,85,95,45,0.0,0.0
4,2176.0,98,100,100,47,0.0,0.0
5,2104.0,100,-1,99,49,0.0,0.0
6,2240.5,98,76,99,49,0.0,0.0
7,2254.5,97,98,98,53,0.0,0.0
8,2233.0,100,-1,100,39,0.0,0.0
9,2136.0,98,68,99,39,0.0,0.0
10,2189.5,97,39,98,39,0.0,0.0
11,2205.0,99,63,92,42,0.0,0.0
12,2200.0,98,48,100,43,0.0,0.0
13,2231.0,98,26,99,40,0.0,0.0
14,2218.5,98,98,99,42,0.0,0.0
15,2205.0,98,58,100,47,0.0,0.0
16,2210.5,99,55,95,52,0.0,0.0
17,2298.5,98,29,98,53,0.0,0.0
18,2197.5,98,2,98,43,0.0,0.0
19,2248.0,97,47,99,41,0.0,0.0
20,2175.5,98,31,99,47,0.0,0.0
21,2250.5,98,75,100,45,0.0,0.0
22,2213.0,96,66,100,45,0.0,0.0
23,2286.5,98,3,99,46,0.0,0.0
24,2254.0,100,-1,97,42,0.0,0.0
25,2243.0,98,40,96,36,0.0,0.0
26,2279.5,100,-1,97,50,0.0,0.0
27,2170.5,97,9,99,47,0.0,0.0
28,2213.5,97,7,100,43,0.0,0.0
29,2209.0,99,1,96,45,0.0,0.0
30,2280.0,98,34,97,44,0.0,0.0
31,2155.0,97,97,100,44,0.0,0.0
32,2210.0,98,85,97,37,0.0,0.0
33,2175.5,99,1,96,46,0.0,0.0
34,2193.5,97,80,99,49,0.0,0.0
35,2213.0,98,44,98,45,0.0,0.0
36,2298.0,97,58,97,47,0.0,0.0
37,2237.0,100,-1,96,42,0.0,0.0
38,2211.0,99,47,100,43,0.0,0.0
39,2225.0,98,92,93,41,0.0,0.0
40,2224.0,99,2,91,48,0.0,0.0
41,2254.5,100,-1,100,47,0.0,0.0
42,2139.0,99,4,99,49,0.0,0.0
43,2290.5,98,23,100,40,0.0,0.0
44,2216.5,100,-1,99,46,0.0,0.0
45,2220.5,97,75,97,42,0.0,0.0
46,2153.0,98,44,98,44,0.0,0.0
47,2256.0,98,94,100,44,0.0,0.0
48,2171.5,99,66,95,50,0.0,0.0
49,2139.0,97,12,99,49,0.0,0.0
50,2186.5,99,1,97,43,0.0,0.0
51,2304.0,98,53,100,44,0.0,0.0
52,2197.5,96,70,100,42,0.0,0.0
53,2258.5,100,-1,94,49,0.0,0.0
54,2184.0,99,42,98,39,0.0,0.0
55,2164.5,99,1,96,49,0.0,0.0
56,2158.5,98,39,96,41,0.0,0.0
57,2198.0,100,-1,100,44,0.0,0.0
58,2236.0,98,72,98,38,0.0,0.0
59,2234.5,98,57,96,45,0.0,0.0
60,2277.5,100,-1,98,43,0.0,0.0
61,2130.5,100,-1,99,38,0.0,0.0
62,2153.5,98,16,99,41,0.0,0.0
63,2205.5,98,17,97,40,0.0,0.0
64,2161.0,98,9,98,33,0.0,0.0
65,2199.5,99,1,96,50,0.0,0.0
66,2225.5,100,-1,100,45,0.0,0.0
67,2192.0,99,16,99,42,0.0,0.0
68,2196.0,100,-1,100,50,0.0,0.0
69,2171.0,97,82,95,45,0.0,0.0
70,2237.0,97,52,95,43,0.0,0.0
71,2250.5,98,68,100,47,0.0,0.0
72,2144.5,96,32,98,49,0.0,0.0
73,2197.0,99,27,100,40,0.0,0.0
74,2184.5,98,4,99,50,0.0,0.0
75,2290.5,100,-1,97,37,0.0,0.0
76,2300.5,98,19,100,41,0.0,0.0
77,2242.0,99,1,99,41,0.0,0.0
78,2198.0,99,92,100,41,0.0,0.0
79,2234.5,98,58,98,47,0.0,0.0
80,2238.0,100,-1,98,42,0.0,0.0
81,2159.5,100,-1,90,33,0.0,0.0
82,2181.0,100,-1,100,44,0.0,0.0
83,2221.0,98,89,100,45,0.0,0.0
84,2182.0,99,1,97,44,0.0,0.0
85,2116.5,95,9,93,49,0.0,0.0
86,2316.0,98,2,99,43,0.0,0.0
87,2209.0,98,35,98,48,0.0,0.0
88,2218.5,99,59,100,39,0.0,0.0
89,2288.0,97,53,100,38,0.0,0.0
90,2262.0,100,-1,98,39,0.0,0.0
91,2168.0,99,2,99,45,0.0,0.0
92,2203.0,99,31,100,41,0.0,0.0
93,2235.5,98,85,100,40,0.0,0.0
94,2179.0,98,2,100,43,0.0,0.0
95,2225.0,99,1,95,46,0.0,0.0
96,2184.5,99,2,98,40,0.0,0.0
97,2248.0,99,61,100,44,0.0,0.0
98,2186.5,99,8,92,49,0.0,0.0
99,2314.5,100,-1,97,51,0.0,0.0
0,2254.5,99,16,92,51,0.0,0.02
1,2248.5,99,1,95,40,0.0,0.02
2,2182.0,98,71,95,42,0.0,0.02
3,2161.0,96,98,99,38,0.0,0.02
4,2204.5,98,80,98,35,0.0,0.02
5,2221.0,100,-1,99,39,0.0,0.02
6,2224.5,98,70,97,47,0.0,0.02
7,2312.5,97,67,100,42,0.0,0.02
8,2222.0,99,45,98,35,0.0,0.02
9,2265.0,99,37,100,43,0.0,0.02
10,2273.0,99,1,96,47,0.0,0.02
11,2134.5,95,83,100,36,0.0,0.02
12,2144.0,97,61,99,42,0.0,0.02
13,2207.5,99,1,99,56,0.0,0.02
14,2204.0,98,100,100,40,0.0,0.02
15,2340.0,100,-1,98,44,0.0,0.02
16,2209.5,99,59,98,37,0.0,0.02
17,2142.0,99,9,100,51,0.0,0.02
18,2290.5,99,1,98,46,0.0,0.02
19,2181.0,97,35,100,45,0.0,0.02
20,2155.0,96,100,99,46,0.0,0.02
21,2238.5,100,-1,98,46,0.0,0.02
22,2181.0,100,-1,99,44,0.0,0.02
23,2199.0,96,27,98,45,0.0,0.02
24,2194.0,98,93,100,43,0.0,0.02
25,2195.5,99,12,100,42,0.0,0.02
26,2216.0,100,-1,100,47,0.0,0.02
27,2213.5,98,4,96,40,0.0,0.02
28,2211.0,97,76,99,41,0.0,0.02
29,2243.0,97,49,99,45,0.0,0.02
30,2327.5,97,31,99,48,0.0,0.02
31,2268.5,99,39,100,44,0.0,0.02
32,2272.0,98,38,96,39,0.0,0.02
33,2265.0,100,-1,99,44,0.0,0.02
34,2194.5,99,1,100,53,0.0,0.02
35,2223.5,99,100,100,51,0.0,0.02
36,2203.5,100,-1,99,50,0.0,0.02
37,2223.0,100,-1,100,34,0.0,0.02
38,2194.5,98,10,98,41,0.0,0.02
39,2210.0,97,72,99,36,0.0,0.02
40,2201.0,96,95,95,51,0.0,0.02
41,2246.5,98,6,100,49,0.0,0.02
42,2247.0,98,70,100,45,0.0,0.02
43,2201.5,98,5,100,37,0.0,0.02
44,2270.5,99,90,99,44,0.0,0.02
45,2229.0,98,52,100,40,0.0,0.02
46,2239.0,96,58,97,50,0.0,0.02
47,2236.5,99,1,99,47,0.0,0.02
48,2302.0,97,75,96,48,0.0,0.02
49,2198.0,98,32,100,39,0.0,0.02
50,2221.0,99,16,98,45,0.0,0.02
51,2223.5,100,-1,98,42,0.0,0.02
52,2179.5,96,53,95,46,0.0,0.02
53,2203.5,99,4,99,42,0.0,0.02
54,2254.5,99,42,94,35,0.0,0.02
55,2252.0,98,87,97,48,0.0,0.02
56,2249.5,98,9,99,41,0.0,0.02
57,2247.5,99,3,99,44,0.0,0.02
58,2157.0,99,9,92,38,0.0,0.02
59,2222.0,100,-1,100,45,0.0,0.02
60,2225.5,99,96,100,42,0.0,0.02
61,2149.0,99,87,97,43,0.0,0.02
62,2287.0,99,14,97,46,0.0,0.02
63,2217.5,99,2,100,44,0.0,0.02
64,2233.5,98,91,98,49,0.0,0.02
65,2127.0,100,-1,96,41,0.0,0.02
66,2207.5,97,48,99,49,0.0,0.02
67,2190.0,99,12,98,47,0.0,0.02
68,2194.0,99,1,100,37,0.0,0.02
69,2233.0,98,86,95,50,0.0,0.02
70,2250.0,98,61,98,44,0.0,0.02
71,2268.5,99,79,99,43,0.0,0.02
72,2271.5,100,-1,98,44,0.0,0.02
73,2151.0,99,11,100,46,0.0,0.02
74,2250.5,98,63,100,46,0.0,0.02
75,2246.5,99,1,99,42,0.0,0.02
76,2254.0,98,46,100,48,0.0,0.02
77,2233.0,98,90,99,42,0.0,0.02
78,2167.5,99,1,100,47,0.0,0.02
79,2267.5,100,-1,96,43,0.0,0.02
80,2243.5,99,24,100,44,0.0,0.02
81,2255.0,99,1,97,45,0.0,0.02
82,2187.0,98,46,100,44,0.0,0.02
83,2299.5,98,38,95,49,0.0,0.02
84,2154.0,99,6,100,53,0.0,0.02
85,2162.0,100,-1,100,35,0.0,0.02
86,2239.5,98,27,93,40,0.0,0.02
87,2188.5,98,2,97,38,0.0,0.02
88,2118.0,96,97,97,31,0.0,0.02
89,2177.5,97,98,100,55,0.0,0.02
90,2225.5,100,-1,100,47,0.0,0.02
91,2299.5,98,94,100,41,0.0,0.02
92,2262.5,96,53,99,49,0.0,0.02
93,2283.0,96,93,99,46,0.0,0.02
94,2234.5,100,-1,100,41,0.0,0.02
95,2218.5,100,-1,98,51,0.0,0.02
96,2203.0,99,1,99,46,0.0,0.02
97,2199.5,95,80,98,40,0.0,0.02
98,2160.0,95,75,99,43,0.0,0.02
99,2237.5,100,-1,98,41,0.0,0.02
0,2232.5,99,14,100,49,0.0,0.04
1,2151.5,99,1,100,38,0.0,0.04
2,2281.5,99,30,100,45,0.0,0.04
3,2233.5,99,1,100,50,0.0,0.04
