,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,2270.0,99,1,98,41,0.0,0.0
1,2260.0,99,2,98,35,0.0,0.0
2,2280.0,96,86,100,42,0.0,0.0
3,2211.0,100,-1,95,47,0.0,0.0
4,2197.5,98,94,95,52,0.0,0.0
5,2206.5,98,17,97,39,0.0,0.0
6,2282.5,98,12,99,45,0.0,0.0
7,2153.5,97,90,100,50,0.0,0.0
8,2179.0,99,73,100,49,0.0,0.0
9,2212.5,98,6,98,43,0.0,0.0
10,2199.0,99,4,99,40,0.0,0.0
11,2169.0,96,81,94,42,0.0,0.0
12,2210.0,98,4,96,43,0.0,0.0
13,2276.5,100,-1,96,49,0.0,0.0
14,2252.5,96,88,100,50,0.0,0.0
15,2272.5,99,1,92,38,0.0,0.0
16,2128.0,98,58,100,37,0.0,0.0
17,2255.5,99,1,94,37,0.0,0.0
18,2245.0,96,98,99,45,0.0,0.0
19,2298.5,100,-1,88,42,0.0,0.0
20,2234.5,99,6,100,49,0.0,0.0
21,2219.0,97,100,100,38,0.0,0.0
22,2239.0,98,79,91,34,0.0,0.0
23,2262.5,99,7,100,47,0.0,0.0
24,2160.0,98,36,94,39,0.0,0.0
25,2235.0,99,1,98,39,0.0,0.0
26,2297.5,99,48,100,49,0.0,0.0
27,2340.5,98,90,95,50,0.0,0.0
28,2230.5,98,93,99,41,0.0,0.0
29,2276.5,97,36,98,47,0.0,0.0
30,2269.5,98,82,97,49,0.0,0.0
31,2266.5,99,31,100,38,0.0,0.0
32,2281.5,99,7,100,42,0.0,0.0
33,2260.5,99,3,98,48,0.0,0.0
34,2184.0,99,1,92,40,0.0,0.0
35,2233.5,100,-1,100,41,0.0,0.0
36,2179.5,99,1,99,37,0.0,0.0
37,2291.0,100,-1,92,50,0.0,0.0
38,2251.0,99,45,96,44,0.0,0.0
39,2245.5,99,23,100,37,0.0,0.0
40,2224.0,99,1,98,40,0.0,0.0
41,2154.0,96,88,96,50,0.0,0.0
42,2196.5,100,-1,98,33,0.0,0.0
43,2242.5,97,30,96,46,0.0,0.0
44,2223.0,98,77,99,46,0.0,0.0
45,2231.5,98,69,97,48,0.0,0.0
46,2246.0,99,1,100,40,0.0,0.0
47,2248.5,98,12,100,38,0.0,0.0
48,2309.0,99,1,100,43,0.0,0.0
49,2258.5,100,-1,100,48,0.0,0.0
50,2162.0,99,1,99,45,0.0,0.0
51,2194.0,100,-1,100,49,0.0,0.0
52,2313.0,98,16,98,35,0.0,0.0
53,2271.5,99,77,98,46,0.0,0.0
54,2260.5,98,44,99,50,0.0,0.0
55,2240.0,100,-1,100,43,0.0,0.0
56,2240.0,98,54,99,51,0.0,0.0
57,2130.5,98,2,99,43,0.0,0.0
58,2216.5,98,84,100,55,0.0,0.0
59,2173.0,98,88,99,45,0.0,0.0
60,2190.0,99,5,87,41,0.0,0.0
61,2181.5,99,1,99,45,0.0,0.0
62,2260.5,99,1,100,43,0.0,0.0
63,2214.5,99,18,99,40,0.0,0.0
64,2209.5,97,69,96,42,0.0,0.0
65,2229.0,99,24,99,52,0.0,0.0
66,2247.5,100,-1,97,49,0.0,0.0
67,2209.5,96,60,98,40,0.0,0.0
68,2289.0,99,20,97,43,0.0,0.0
69,2196.5,97,88,100,37,0.0,0.0
70,2219.5,100,-1,96,39,0.0,0.0
71,2237.5,99,2,99,45,0.0,0.0
72,2180.0,100,-1,98,42,0.0,0.0
73,2264.5,98,19,100,45,0.0,0.0
74,2239.5,98,92,99,45,0.0,0.0
75,2233.0,98,81,100,38,0.0,0.0
76,2274.0,99,1,100,42,0.0,0.0
77,2195.5,99,36,100,46,0.0,0.0
78,2187.5,97,88,97,41,0.0,0.0
