,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,2175.0,99,1,97,63,0.0,0.0
1,2260.5,98,96,100,65,0.0,0.0
2,2141.5,99,88,95,54,0.0,0.0
3,2222.0,99,90,98,61,0.0,0.0
4,2238.0,100,-1,98,52,0.0,0.0
5,2221.5,98,41,100,57,0.0,0.0
6,2240.0,100,-1,100,52,0.0,0.0
7,2139.5,100,-1,92,57,0.0,0.0
8,2305.0,98,21,100,57,0.0,0.0
9,2193.0,97,30,100,52,0.0,0.0
10,2249.5,97,62,100,48,0.0,0.0
11,2236.0,99,1,98,53,0.0,0.0
12,2294.0,97,80,100,56,0.0,0.0
13,2210.0,99,70,98,56,0.0,0.0
14,2154.5,98,16,95,50,0.0,0.0
15,2180.5,98,45,97,63,0.0,0.0
16,2209.0,99,64,99,51,0.0,0.0
17,2273.5,98,84,100,58,0.0,0.0
18,2123.0,97,98,100,59,0.0,0.0
19,2266.0,99,5,100,60,0.0,0.0
20,2318.5,99,41,99,71,0.0,0.0
21,2220.5,99,1,98,57,0.0,0.0
22,2145.0,100,-1,99,57,0.0,0.0
23,2250.5,97,62,100,68,0.0,0.0
24,2156.0,97,64,98,50,0.0,0.0
25,2292.5,99,1,100,51,0.0,0.0
26,2144.0,98,5,99,62,0.0,0.0
27,2147.0,96,65,100,64,0.0,0.0
28,2205.0,97,85,99,63,0.0,0.0
29,2240.5,100,-1,100,64,0.0,0.0
30,2233.5,100,-1,98,55,0.0,0.0
31,2199.0,96,53,98,69,0.0,0.0
32,2281.5,97,64,99,57,0.0,0.0
33,2285.5,99,49,99,52,0.0,0.0
34,2239.5,98,84,99,53,0.0,0.0
35,2189.5,99,95,100,58,0.0,0.0
36,2177.5,96,85,100,58,0.0,0.0
37,2166.5,97,65,96,58,0.0,0.0
38,2179.5,97,93,100,58,0.0,0.0
39,2204.0,99,2,93,61,0.0,0.0
40,2280.5,97,79,96,60,0.0,0.0
41,2251.0,99,25,100,53,0.0,0.0
42,2215.5,98,86,100,62,0.0,0.0
43,2226.5,97,92,98,56,0.0,0.0
44,2183.0,98,34,100,51,0.0,0.0
45,2228.5,98,62,100,57,0.0,0.0
46,2188.0,100,-1,99,54,0.0,0.0
47,2344.5,100,-1,99,49,0.0,0.0
48,2264.0,97,44,94,58,0.0,0.0
49,2268.5,97,94,98,48,0.0,0.0
50,2258.0,98,19,100,56,0.0,0.0
51,2263.5,98,20,100,55,0.0,0.0
52,2242.5,99,16,100,59,0.0,0.0
53,2229.0,99,1,99,59,0.0,0.0
54,2180.5,98,72,98,49,0.0,0.0
55,2208.5,96,58,100,55,0.0,0.0
56,2281.5,99,1,95,70,0.0,0.0
57,2222.0,99,8,98,51,0.0,0.0
58,2200.5,97,33,97,50,0.0,0.0
59,2273.5,98,27,96,67,0.0,0.0
60,2236.5,99,50,97,60,0.0,0.0
61,2267.5,98,72,95,55,0.0,0.0
62,2194.5,98,3,100,54,0.0,0.0
63,2184.5,97,24,99,65,0.0,0.0
64,2251.0,100,-1,100,62,0.0,0.0
65,2226.0,97,80,99,52,0.0,0.0
66,2180.0,98,62,88,55,0.0,0.0
67,2397.5,100,-1,99,55,0.0,0.0
68,2255.0,97,77,100,54,0.0,0.0
69,2220.0,98,22,100,58,0.0,0.0
70,2217.5,98,74,97,69,0.0,0.0
71,2172.5,97,82,100,59,0.0,0.0
72,2315.0,99,3,97,57,0.0,0.0
73,2162.0,96,73,99,63,0.0,0.0
74,2242.5,96,98,98,48,0.0,0.0
75,2225.0,96,90,100,53,0.0,0.0
76,2182.5,98,49,92,65,0.0,0.0
77,2199.5,99,1,100,58,0.0,0.0
78,2224.0,99,78,99,60,0.0,0.0
79,2239.0,97,93,100,62,0.0,0.0
80,2235.0,96,94,95,59,0.0,0.0
81,2205.5,98,83,98,62,0.0,0.0
82,2215.0,98,57,95,56,0.0,0.0
83,2287.0,99,55,99,60,0.0,0.0
84,2364.0,99,30,96,63,0.0,0.0
85,2233.5,98,48,100,58,0.0,0.0
86,2280.5,99,39,98,48,0.0,0.0
87,2193.0,98,44,99,51,0.0,0.0
88,2260.0,98,5,99,64,0.0,0.0
89,2212.5,99,14,100,64,0.0,0.0
90,2193.0,99,18,99,52,0.0,0.0
91,2164.5,97,81,95,61,0.0,0.0
92,2201.5,98,62,99,57,0.0,0.0
93,2184.0,100,-1,100,59,0.0,0.0
94,2272.0,98,15,93,58,0.0,0.0
95,2236.0,100,-1,98,60,0.0,0.0
96,2271.0,96,84,97,52,0.0,0.0
97,2197.0,99,9,100,47,0.0,0.0
98,2219.5,98,94,97,51,0.0,0.0
99,2234.0,99,85,97,55,0.0,0.0
0,2228.0,97,42,98,51,0.0,0.1
