,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,33.5,18,100,100,86,0.0,0.0
1,202.5,25,100,100,71,0.0,0.0
2,14.0,17,100,100,81,0.0,0.0
3,-14.5,15,100,100,87,0.0,0.0
4,-8.0,20,100,100,75,0.0,0.0
5,41.0,26,100,100,91,0.0,0.0
6,132.5,21,100,100,89,0.0,0.0
7,123.0,21,100,100,83,0.0,0.0
8,99.5,24,100,100,84,0.0,0.0
9,97.5,25,100,100,85,0.0,0.0
0,25.0,19,99,100,83,0.0,0.1
1,19.0,20,100,100,77,0.0,0.1
2,-45.5,23,100,100,77,0.0,0.1
3,24.5,16,100,100,89,0.0,0.1
4,-22.0,15,100,100,101,0.0,0.1
5,-7.0,14,99,100,90,0.0,0.1
6,84.5,19,100,100,77,0.0,0.1
7,149.0,27,99,100,94,0.0,0.1
8,-31.5,22,99,99,78,0.0,0.1
9,-10.0,15,100,100,79,0.0,0.1
0,-90.5,15,100,100,79,0.0,0.2
1,-112.0,15,99,100,75,0.0,0.2
2,-40.5,16,100,100,81,0.0,0.2
3,-93.0,13,99,100,85,0.0,0.2
4,65.5,16,100,100,83,0.0,0.2
5,4.0,20,100,100,77,0.0,0.2
6,85.5,22,100,100,84,0.0,0.2
7,-92.5,19,100,100,83,0.0,0.2
8,166.5,27,100,100,78,0.0,0.2
9,40.5,26,100,100,86,0.0,0.2
0,22.0,20,100,100,84,0.0,0.3
1,-25.5,16,100,100,81,0.0,0.3
2,29.5,19,100,100,80,0.0,0.3
3,-12.0,18,100,100,84,0.0,0.3
4,76.5,23,100,100,82,0.0,0.3
5,-47.5,17,100,100,87,0.0,0.3
6,29.5,16,100,100,87,0.0,0.3
7,3.5,18,100,100,89,0.0,0.3
8,100.5,22,100,100,96,0.0,0.3
9,-93.5,18,100,100,90,0.0,0.3
0,88.0,25,100,100,78,0.0,0.4
1,84.0,21,99,100,88,0.0,0.4
2,70.0,20,100,100,85,0.0,0.4
3,-130.0,15,100,100,82,0.0,0.4
4,-20.0,21,100,100,87,0.0,0.4
5,2.5,23,100,100,80,0.0,0.4
6,31.0,23,100,100,77,0.0,0.4
7,142.5,27,100,100,77,0.0,0.4
8,216.5,28,100,100,83,0.0,0.4
9,101.5,25,100,100,82,0.0,0.4
0,-18.0,19,98,100,80,0.0,0.5
1,-100.0,15,100,100,76,0.0,0.5
2,85.0,17,100,100,80,0.0,0.5
3,1.5,21,99,100,82,0.0,0.5
4,-53.0,16,100,100,80,0.0,0.5
5,34.0,23,100,100,83,0.0,0.5
6,82.0,25,100,100,75,0.0,0.5
7,53.5,22,100,100,85,0.0,0.5
8,10.0,18,100,100,87,0.0,0.5
9,-40.0,14,100,100,85,0.0,0.5
0,13.5,15,100,100,89,0.0,0.6
1,-30.5,26,100,100,85,0.0,0.6
2,194.0,24,100,100,97,0.0,0.6
3,81.0,22,100,100,88,0.0,0.6
4,-4.5,24,100,100,89,0.0,0.6
5,76.5,22,100,100,88,0.0,0.6
6,36.0,22,100,100,67,0.0,0.6
7,13.0,18,100,100,90,0.0,0.6
8,192.0,22,100,100,82,0.0,0.6
9,143.0,25,100,100,91,0.0,0.6
0,44.5,23,100,100,86,0.0,0.7
1,19.0,13,100,100,86,0.0,0.7
2,96.5,23,100,100,86,0.0,0.7
3,59.5,28,100,100,85,0.0,0.7
4,-109.0,15,100,100,88,0.0,0.7
5,17.0,18,100,100,90,0.0,0.7
6,147.0,25,100,100,82,0.0,0.7
7,-79.5,18,100,100,88,0.0,0.7
8,52.0,25,100,100,69,0.0,0.7
9,-10.5,19,100,100,84,0.0,0.7
0,95.5,21,100,100,89,0.0,0.8
1,-52.0,22,100,100,87,0.0,0.8
2,-56.5,18,99,100,94,0.0,0.8
3,107.5,23,100,100,80,0.0,0.8
4,9.5,15,100,100,75,0.0,0.8
5,58.5,19,98,100,86,0.0,0.8
