,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,2211.0,97,61,99,59,0.0,0.0
1,2128.0,98,54,96,46,0.0,0.0
2,2191.0,96,97,100,60,0.0,0.0
3,2174.5,97,97,99,59,0.0,0.0
4,2267.5,96,9,99,52,0.0,0.0
5,2151.0,98,58,100,61,0.0,0.0
6,2250.0,100,-1,100,51,0.0,0.0
7,2200.0,99,8,97,72,0.0,0.0
8,2235.0,98,64,93,48,0.0,0.0
9,2193.0,98,60,99,60,0.0,0.0
10,2127.0,98,24,100,58,0.0,0.0
11,2214.5,100,-1,99,56,0.0,0.0
12,2240.5,99,22,100,53,0.0,0.0
13,2207.5,100,-1,99,58,0.0,0.0
14,2200.5,98,9,99,56,0.0,0.0
15,2218.5,99,21,100,53,0.0,0.0
16,2211.0,99,1,100,57,0.0,0.0
17,2263.0,99,71,100,70,0.0,0.0
18,2198.0,100,-1,100,61,0.0,0.0
19,2199.5,98,75,100,66,0.0,0.0
20,2226.0,96,70,99,62,0.0,0.0
21,2254.5,98,62,99,58,0.0,0.0
22,2271.0,99,13,100,67,0.0,0.0
23,2192.5,98,42,96,63,0.0,0.0
24,2276.5,99,82,100,60,0.0,0.0
25,2266.0,100,-1,99,49,0.0,0.0
26,2252.0,98,4,98,55,0.0,0.0
27,2258.5,98,19,100,69,0.0,0.0
28,2244.5,98,54,100,48,0.0,0.0
29,2299.0,97,55,97,64,0.0,0.0
30,2160.5,97,91,100,56,0.0,0.0
31,2154.0,99,69,99,53,0.0,0.0
32,2304.0,99,37,99,50,0.0,0.0
33,2171.0,100,-1,100,70,0.0,0.0
34,2200.0,99,1,99,51,0.0,0.0
35,2213.5,98,34,100,62,0.0,0.0
36,2284.0,99,91,100,49,0.0,0.0
37,2210.0,97,28,100,59,0.0,0.0
38,2206.0,99,50,97,54,0.0,0.0
39,2213.0,98,24,100,52,0.0,0.0
40,2250.0,100,-1,100,59,0.0,0.0
41,2232.0,97,69,91,59,0.0,0.0
42,2199.0,99,1,100,52,0.0,0.0
43,2292.5,96,91,98,54,0.0,0.0
44,2287.0,96,96,100,57,0.0,0.0
45,2299.0,100,-1,100,60,0.0,0.0
46,2202.5,98,36,97,52,0.0,0.0
47,2288.0,97,98,98,55,0.0,0.0
48,2210.5,99,1,98,63,0.0,0.0
49,2216.0,97,53,100,56,0.0,0.0
50,2320.0,97,21,100,46,0.0,0.0
