,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,1880.5,80,86,100,785,0.0,0.0
1,1854.5,84,63,100,767,0.0,0.0
2,1967.5,81,76,98,782,0.0,0.0
3,1903.5,81,68,100,800,0.0,0.0
4,1808.0,80,98,100,739,0.0,0.0
5,1825.0,84,80,100,798,0.0,0.0
6,1889.5,82,85,99,764,0.0,0.0
7,1878.5,80,83,100,739,0.0,0.0
8,1767.0,83,68,97,744,0.0,0.0
9,1921.5,82,74,100,724,0.0,0.0
10,1826.0,73,92,100,787,0.0,0.0
11,1965.5,81,48,100,851,0.0,0.0
12,1814.5,82,76,100,766,0.0,0.0
13,1872.0,80,48,98,805,0.0,0.0
14,1932.0,77,91,100,814,0.0,0.0
15,1871.0,80,100,100,813,0.0,0.0
16,1908.5,78,97,99,771,0.0,0.0
17,1872.0,84,56,100,827,0.0,0.0
18,1918.0,79,99,100,790,0.0,0.0
19,1895.0,85,76,99,831,0.0,0.0
20,1783.5,83,86,99,812,0.0,0.0
21,1857.0,78,87,100,806,0.0,0.0
22,1900.5,80,72,100,863,0.0,0.0
23,1830.0,79,95,100,762,0.0,0.0
24,1930.0,82,94,100,856,0.0,0.0
25,1792.5,85,71,96,754,0.0,0.0
26,1936.0,81,89,98,767,0.0,0.0
27,1911.5,80,69,97,814,0.0,0.0
28,1754.0,81,97,99,831,0.0,0.0
29,1855.0,81,87,99,771,0.0,0.0
30,1771.0,79,93,100,792,0.0,0.0
31,1858.0,84,96,100,789,0.0,0.0
32,1863.0,79,74,100,855,0.0,0.0
33,1778.0,83,69,100,743,0.0,0.0
34,1905.5,79,98,99,821,0.0,0.0
35,1890.0,81,49,100,738,0.0,0.0
36,1843.5,78,90,100,842,0.0,0.0
37,1858.5,81,100,100,778,0.0,0.0
38,1861.5,85,49,100,777,0.0,0.0
39,1765.0,77,76,100,760,0.0,0.0
40,1917.0,80,98,99,786,0.0,0.0
41,1850.0,85,98,100,782,0.0,0.0
42,1847.0,78,99,100,803,0.0,0.0
43,1777.5,85,87,100,774,0.0,0.0
44,1887.5,86,33,100,772,0.0,0.0
45,1719.5,78,86,95,761,0.0,0.0
46,1909.0,83,65,99,795,0.0,0.0
47,1825.5,79,81,100,803,0.0,0.0
48,1786.0,85,68,100,758,0.0,0.0
49,1903.5,75,100,100,825,0.0,0.0
50,1914.0,81,82,98,803,0.0,0.0
