,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals
0,1906.0,87,38,100,734
1,1916.0,79,73,92,790
2,1876.5,83,100,100,770
3,1852.5,81,95,100,833
4,1951.5,89,61,98,715
5,1867.0,86,100,100,788
6,1953.5,88,28,98,800
7,1997.0,86,84,99,747
8,1889.5,78,69,99,767
9,1929.0,85,96,96,726
10,1843.5,83,99,100,828
11,1857.5,76,94,98,830
12,1832.5,81,73,99,754
13,1867.0,81,72,97,794
14,1894.0,82,95,100,724
15,1910.5,81,64,97,803
16,1853.5,79,100,100,761
17,1926.0,82,96,99,789
18,1813.5,81,81,98,742
19,2003.5,88,92,100,729
20,1884.0,83,60,100,785
21,1880.5,82,68,100,752
22,1908.0,83,82,98,775
23,1918.0,83,93,99,782
24,1884.5,85,80,99,684
25,1835.5,78,87,99,815
26,1947.5,83,32,98,860
27,1906.0,81,85,100,778
28,1827.0,81,98,99,755
29,1966.5,83,94,99,767
30,1926.0,87,93,100,762
31,1931.5,84,93,99,777
32,1974.0,83,82,99,724
33,2002.0,84,65,99,729
34,1887.0,80,73,100,737
35,1995.0,83,83,100,756
36,1786.5,81,39,100,794
37,1915.0,83,62,99,746
38,1859.0,82,100,100,806
39,1796.5,83,57,100,811
40,1874.5,83,93,99,764
41,1800.5,81,96,100,765
42,1900.0,83,74,99,701
43,1817.0,82,99,99,723
44,1853.0,85,46,100,737
45,1796.5,78,69,100,720
46,1907.0,85,66,100,785
47,1859.0,83,74,100,717
48,1816.0,80,92,100,792
49,1953.0,84,83,96,734
50,1940.0,83,86,99,769
51,1893.5,81,100,100,745
52,1911.5,87,77,100,769
53,1940.0,87,92,96,713
54,1820.5,85,40,98,743
55,1829.0,81,81,100,762
56,1775.5,81,84,100,787
57,1911.5,84,31,99,776
58,1891.5,83,82,99,764
59,1959.5,85,85,98,760
60,1903.0,84,65,100,790
61,1844.5,79,100,100,740
62,2054.0,86,84,99,821
63,1895.0,84,90,99,796
64,1960.5,79,99,99,798
65,1861.0,79,95,100,838
66,1777.0,83,73,99,788
67,1883.5,85,72,100,703
68,1774.5,84,72,100,773
69,1869.5,81,80,99,753
70,1838.0,86,43,99,787
71,1914.0,80,98,98,783
72,1869.0,82,91,100,769
73,1973.0,82,88,100,793
74,1889.5,87,59,100,768
75,1925.5,85,39,100,703
76,1935.5,81,91,100,781
77,1965.5,87,85,100,736
78,1901.0,88,28,96,801
79,1824.0,82,75,96,735
80,1848.0,84,43,97,730
81,1916.0,84,77,98,813
82,1967.0,87,60,100,802
83,1977.5,87,95,98,745
84,1828.0,80,39,99,797
85,1965.0,84,93,96,729
86,1903.5,84,59,100,794
87,1817.5,85,54,97,712
88,1819.0,82,46,95,792
89,1831.0,86,97,97,731
90,1890.0,84,95,95,737
91,1918.5,85,45,100,719
92,1817.5,84,70,99,767
93,1991.5,84,57,96,731
94,1760.5,83,97,100,735
95,1820.0,74,98,100,826
96,1945.5,80,90,94,780
97,1934.0,84,74,100,772
98,1818.5,81,73,98,731
99,1913.5,84,99,99,778
