,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,1846.0,80,98,99,767,0.0,0.0
1,1895.5,80,77,100,773,0.0,0.0
2,1823.0,82,81,100,779,0.0,0.0
3,1877.0,77,94,100,796,0.0,0.0
4,1859.5,82,89,99,829,0.0,0.0
5,1791.0,78,95,99,764,0.0,0.0
6,1941.0,83,43,99,786,0.0,0.0
7,1826.5,83,99,100,796,0.0,0.0
8,1849.5,79,85,99,864,0.0,0.0
9,1900.5,83,52,99,777,0.0,0.0
10,1949.0,83,77,100,809,0.0,0.0
11,1927.0,86,43,100,798,0.0,0.0
12,1968.0,80,95,100,816,0.0,0.0
13,1883.0,83,87,98,824,0.0,0.0
14,2004.0,90,37,100,826,0.0,0.0
15,1854.0,81,76,97,772,0.0,0.0
16,1863.0,81,99,99,775,0.0,0.0
17,1845.5,78,86,100,827,0.0,0.0
18,1828.0,81,69,99,809,0.0,0.0
19,1931.5,84,88,97,806,0.0,0.0
20,1884.5,78,93,99,872,0.0,0.0
21,1909.5,84,79,100,765,0.0,0.0
22,1830.5,88,35,100,715,0.0,0.0
23,1924.5,79,93,100,807,0.0,0.0
24,1766.0,80,55,99,769,0.0,0.0
25,1858.0,82,73,99,802,0.0,0.0
26,1943.0,81,98,100,854,0.0,0.0
27,1904.5,77,91,100,818,0.0,0.0
28,1784.5,76,67,100,848,0.0,0.0
29,1987.0,82,64,100,810,0.0,0.0
30,1769.0,86,84,100,743,0.0,0.0
31,1879.0,82,54,100,783,0.0,0.0
32,1844.5,83,98,99,801,0.0,0.0
33,1909.0,84,66,99,719,0.0,0.0
34,1797.5,78,100,100,822,0.0,0.0
35,1915.5,81,99,100,763,0.0,0.0
36,1839.0,80,77,99,771,0.0,0.0
37,1897.0,81,86,99,815,0.0,0.0
38,1770.5,83,93,100,765,0.0,0.0
39,1855.5,80,89,98,778,0.0,0.0
40,1889.0,87,98,100,794,0.0,0.0
41,1789.5,79,84,99,774,0.0,0.0
42,1949.5,85,72,100,759,0.0,0.0
43,1741.0,77,96,99,797,0.0,0.0
44,1897.5,81,66,97,781,0.0,0.0
45,1815.0,82,80,99,800,0.0,0.0
46,1897.0,87,100,100,790,0.0,0.0
47,1867.5,84,55,100,762,0.0,0.0
48,1789.5,77,93,99,794,0.0,0.0
49,1864.5,83,50,100,840,0.0,0.0
50,1768.0,74,75,98,822,0.0,0.0
51,1953.0,80,91,97,790,0.0,0.0
52,1856.0,83,84,99,763,0.0,0.0
53,1873.0,80,95,100,785,0.0,0.0
54,1900.5,82,100,100,829,0.0,0.0
55,1735.0,78,89,100,791,0.0,0.0
56,1891.0,83,95,100,864,0.0,0.0
57,1825.5,79,91,100,905,0.0,0.0
58,1790.0,78,84,100,748,0.0,0.0
59,1808.5,76,96,97,850,0.0,0.0
60,1797.5,78,89,99,812,0.0,0.0
61,1904.0,86,72,99,790,0.0,0.0
62,1885.0,79,93,100,788,0.0,0.0
63,1884.5,79,60,100,856,0.0,0.0
64,2006.0,87,69,100,718,0.0,0.0
65,1865.5,80,81,100,810,0.0,0.0
66,1881.0,81,64,100,853,0.0,0.0
67,1832.0,82,68,100,798,0.0,0.0
68,1917.5,81,85,99,793,0.0,0.0
69,1834.5,82,55,100,736,0.0,0.0
70,1974.5,81,99,99,820,0.0,0.0
71,1871.0,81,91,100,791,0.0,0.0
72,1749.5,78,98,100,823,0.0,0.0
73,1952.5,82,98,99,813,0.0,0.0
74,1837.5,80,55,99,779,0.0,0.0
75,1918.0,79,81,98,781,0.0,0.0
76,1922.5,83,88,99,811,0.0,0.0
77,1938.5,83,91,100,808,0.0,0.0
78,1760.5,78,79,100,772,0.0,0.0
