,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,1831.0,78,91,100,894,0.0,0.0
1,1961.5,84,37,100,761,0.0,0.0
2,1921.5,80,93,98,813,0.0,0.0
3,1754.5,82,63,100,787,0.0,0.0
4,1869.5,82,79,99,794,0.0,0.0
5,1923.5,78,100,100,847,0.0,0.0
6,1826.5,81,78,100,821,0.0,0.0
7,1973.0,84,93,99,796,0.0,0.0
8,1845.5,81,79,100,835,0.0,0.0
9,1855.5,81,68,96,752,0.0,0.0
10,1837.0,80,70,99,805,0.0,0.0
11,1888.5,82,86,100,886,0.0,0.0
12,1850.5,82,97,97,788,0.0,0.0
13,1824.0,85,48,97,777,0.0,0.0
14,1883.5,82,97,97,818,0.0,0.0
15,2013.0,83,89,100,756,0.0,0.0
16,1847.0,78,67,100,727,0.0,0.0
17,1863.0,80,83,99,788,0.0,0.0
18,1886.5,83,76,98,739,0.0,0.0
19,1912.5,87,36,100,830,0.0,0.0
20,1902.0,86,55,100,735,0.0,0.0
21,1738.0,75,95,96,781,0.0,0.0
22,1905.5,85,59,100,785,0.0,0.0
23,1800.0,75,86,99,864,0.0,0.0
24,1868.5,79,79,98,815,0.0,0.0
25,1823.0,83,75,98,817,0.0,0.0
26,1783.5,77,79,98,765,0.0,0.0
27,1908.0,87,93,100,723,0.0,0.0
28,1770.0,81,87,99,785,0.0,0.0
29,1890.5,83,97,98,728,0.0,0.0
30,1950.5,84,96,100,777,0.0,0.0
31,1684.0,79,72,99,738,0.0,0.0
32,1869.0,81,87,99,759,0.0,0.0
33,1897.5,86,74,100,756,0.0,0.0
34,1876.0,84,40,100,747,0.0,0.0
35,1753.5,80,72,100,786,0.0,0.0
36,1863.0,80,39,100,826,0.0,0.0
37,1859.5,79,99,99,793,0.0,0.0
38,1888.5,82,87,100,815,0.0,0.0
39,1811.5,81,95,100,775,0.0,0.0
40,1876.0,78,54,100,786,0.0,0.0
41,1892.0,83,86,96,821,0.0,0.0
42,1791.0,79,93,100,791,0.0,0.0
43,1848.5,83,92,99,838,0.0,0.0
44,1926.5,80,99,99,830,0.0,0.0
45,1870.5,79,100,100,774,0.0,0.0
46,1856.0,75,93,99,824,0.0,0.0
47,1975.0,81,91,100,734,0.0,0.0
48,1872.5,80,93,100,812,0.0,0.0
49,1924.0,81,80,97,771,0.0,0.0
50,1895.5,86,36,98,760,0.0,0.0
51,1830.5,80,97,100,820,0.0,0.0
52,1883.5,84,80,97,744,0.0,0.0
53,1855.0,78,86,100,788,0.0,0.0
54,1781.5,81,89,99,808,0.0,0.0
55,1760.0,82,93,100,827,0.0,0.0
56,1850.5,78,76,98,791,0.0,0.0
57,1846.0,78,81,100,792,0.0,0.0
58,1764.0,81,79,100,811,0.0,0.0
59,1832.0,80,73,99,758,0.0,0.0
60,1793.0,77,48,93,824,0.0,0.0
61,1899.5,82,78,99,831,0.0,0.0
62,1785.0,77,95,99,800,0.0,0.0
63,1819.0,81,98,99,789,0.0,0.0
64,1881.5,82,96,100,804,0.0,0.0
65,1815.5,83,83,100,737,0.0,0.0
66,1806.0,85,90,100,716,0.0,0.0
67,1869.5,82,100,100,797,0.0,0.0
68,1936.5,83,89,100,788,0.0,0.0
69,1889.5,82,76,100,771,0.0,0.0
70,1804.0,79,63,98,773,0.0,0.0
71,1874.0,82,72,99,774,0.0,0.0
72,1892.0,85,85,99,813,0.0,0.0
73,1850.0,81,85,95,787,0.0,0.0
74,1873.0,85,68,96,721,0.0,0.0
75,1857.5,84,93,99,786,0.0,0.0
76,1825.5,80,88,100,698,0.0,0.0
77,1867.0,84,67,100,823,0.0,0.0
78,1807.0,80,97,99,804,0.0,0.0
79,1876.5,84,73,100,799,0.0,0.0
80,1900.0,85,53,98,758,0.0,0.0
81,1855.5,79,93,100,786,0.0,0.0
82,1765.0,76,93,100,809,0.0,0.0
83,1853.5,81,62,100,773,0.0,0.0
84,1885.5,78,94,100,783,0.0,0.0
85,1846.5,83,95,98,733,0.0,0.0
86,1946.5,81,86,100,834,0.0,0.0
87,1894.0,79,64,99,741,0.0,0.0
88,1847.0,78,74,100,823,0.0,0.0
89,1900.0,83,90,100,799,0.0,0.0
90,1768.5,79,80,100,756,0.0,0.0
91,1869.0,82,61,96,803,0.0,0.0
92,1933.0,81,87,99,771,0.0,0.0
93,1873.5,82,66,100,692,0.0,0.0
94,1722.5,79,76,100,807,0.0,0.0
95,1925.5,83,69,99,794,0.0,0.0
96,1728.5,78,84,100,803,0.0,0.0
97,1938.5,84,71,100,746,0.0,0.0
98,1918.0,80,99,100,848,0.0,0.0
99,1734.0,80,97,98,762,0.0,0.0
0,1904.5,84,75,97,775,0.0,0.1
1,1861.0,81,75,100,764,0.0,0.1
2,1748.5,79,79,98,784,0.0,0.1
3,1896.5,81,76,100,780,0.0,0.1
4,1767.0,80,47,100,790,0.0,0.1
5,1929.5,85,51,100,743,0.0,0.1
6,1934.5,81,96,100,810,0.0,0.1
7,1858.5,84,95,99,760,0.0,0.1
8,1831.5,78,78,97,782,0.0,0.1
9,1923.0,82,95,100,825,0.0,0.1
10,1886.5,79,93,100,843,0.0,0.1
11,1775.0,79,90,100,832,0.0,0.1
12,1765.5,78,80,99,794,0.0,0.1
13,1851.0,85,97,98,755,0.0,0.1
14,1889.0,79,96,99,765,0.0,0.1
15,1867.0,82,87,99,828,0.0,0.1
16,1785.5,86,70,99,785,0.0,0.1
17,1775.0,81,88,100,720,0.0,0.1
18,1857.5,81,93,100,820,0.0,0.1
19,1867.5,79,64,98,834,0.0,0.1
20,1817.5,80,72,100,834,0.0,0.1
21,1847.0,82,99,100,816,0.0,0.1
22,1884.5,84,49,100,759,0.0,0.1
23,1856.0,79,97,100,798,0.0,0.1
24,1871.5,81,96,100,749,0.0,0.1
25,1783.5,73,92,100,844,0.0,0.1
26,1814.5,81,56,100,836,0.0,0.1
27,1800.5,78,95,99,786,0.0,0.1
28,1855.5,78,98,100,875,0.0,0.1
29,1930.5,83,26,100,773,0.0,0.1
30,1868.0,81,95,100,778,0.0,0.1
31,1752.0,72,89,99,857,0.0,0.1
32,1828.5,82,95,98,808,0.0,0.1
33,1808.5,82,82,100,818,0.0,0.1
34,1783.5,80,100,100,872,0.0,0.1
35,1787.0,82,99,99,788,0.0,0.1
36,1833.5,80,95,95,819,0.0,0.1
37,1897.5,81,92,100,720,0.0,0.1
38,1920.0,82,96,100,759,0.0,0.1
39,1814.5,81,91,100,802,0.0,0.1
40,1969.0,84,77,100,807,0.0,0.1
41,1871.0,77,93,99,814,0.0,0.1
42,1998.0,83,76,100,816,0.0,0.1
43,1846.5,79,87,100,801,0.0,0.1
44,1879.5,87,70,99,802,0.0,0.1
45,1788.0,81,60,99,855,0.0,0.1
46,1938.0,85,83,100,764,0.0,0.1
47,1838.5,83,84,100,772,0.0,0.1
48,1862.0,82,86,99,765,0.0,0.1
49,1835.5,77,97,100,824,0.0,0.1
50,1864.0,83,91,100,787,0.0,0.1
