,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,2298.5,99,8,100,76,0.0,0.0
1,2238.5,96,98,99,81,0.0,0.0
2,2202.0,96,72,99,79,0.0,0.0
3,2184.0,95,92,100,77,0.0,0.0
4,2303.5,97,60,100,70,0.0,0.0
5,2301.0,98,62,99,74,0.0,0.0
6,2277.5,99,79,98,76,0.0,0.0
7,2162.0,96,49,98,75,0.0,0.0
8,2085.5,95,100,100,74,0.0,0.0
9,2286.0,99,80,100,77,0.0,0.0
10,2173.5,99,97,99,78,0.0,0.0
11,2165.0,98,94,100,84,0.0,0.0
12,2212.0,99,68,99,71,0.0,0.0
13,2290.5,99,65,95,74,0.0,0.0
14,2200.5,96,77,98,57,0.0,0.0
15,2158.0,96,57,98,68,0.0,0.0
16,2174.0,98,99,99,72,0.0,0.0
17,2297.0,99,2,94,75,0.0,0.0
18,2127.5,97,85,98,66,0.0,0.0
19,2193.0,95,63,97,79,0.0,0.0
20,2245.5,99,77,99,78,0.0,0.0
21,2348.0,99,65,100,80,0.0,0.0
22,2177.0,97,94,94,66,0.0,0.0
23,2297.5,98,93,98,95,0.0,0.0
24,2143.5,98,86,97,68,0.0,0.0
25,2201.0,97,80,97,77,0.0,0.0
26,2195.0,97,23,100,67,0.0,0.0
27,2257.0,99,1,99,77,0.0,0.0
28,2262.5,98,74,100,76,0.0,0.0
29,2149.5,98,68,100,67,0.0,0.0
30,2191.5,99,18,99,77,0.0,0.0
31,2269.5,98,76,99,81,0.0,0.0
32,2199.0,97,72,100,67,0.0,0.0
33,2231.5,99,4,99,71,0.0,0.0
34,2152.5,99,78,99,69,0.0,0.0
35,2261.0,99,1,97,79,0.0,0.0
36,2104.0,98,16,99,74,0.0,0.0
37,2229.5,98,89,98,82,0.0,0.0
38,2263.0,97,9,98,74,0.0,0.0
39,2142.0,99,64,98,80,0.0,0.0
40,2232.5,99,1,98,79,0.0,0.0
41,2172.5,97,14,98,56,0.0,0.0
42,2277.5,99,11,100,69,0.0,0.0
43,2143.5,97,45,100,68,0.0,0.0
