,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals
0,2226.5,98,50,93,72
1,2260.5,99,10,93,56
2,2165.5,100,-1,93,71
3,2226.5,98,96,96,71
4,2257.5,99,2,89,66
5,2206.5,100,-1,97,57
6,2210.0,98,70,99,60
7,2200.5,100,-1,100,49
8,2261.0,100,-1,94,56
9,2241.5,99,1,91,73
10,2226.0,100,-1,87,68
11,2243.0,99,11,98,64
12,2186.5,99,1,90,60
13,2253.5,100,-1,99,62
14,2211.0,99,44,77,68
15,2281.0,100,-1,89,65
16,2304.5,100,-1,98,68
17,2268.0,98,81,66,58
18,2221.5,98,30,88,66
19,2207.0,98,81,99,71
20,2250.5,98,33,97,63
21,2222.0,99,96,96,74
22,2203.5,97,51,96,69
23,2252.5,98,24,97,63
24,2195.5,98,48,100,61
25,2185.5,99,1,93,72
26,2227.0,100,-1,89,67
27,2304.0,99,1,97,64
28,2176.0,100,-1,90,63
29,2161.0,100,-1,86,66
30,2238.0,99,1,92,70
31,2241.5,100,-1,96,81
32,2255.5,99,91,98,76
33,2233.0,98,9,92,69
34,2227.5,99,1,88,54
35,2192.0,99,44,96,79
36,2248.0,98,26,97,71
37,2217.0,100,-1,98,68
38,2214.0,99,26,99,73
39,2158.5,100,-1,96,63
40,2239.5,100,-1,89,81
41,2296.5,100,-1,93,70
42,2297.0,99,88,88,69
43,2225.0,99,1,100,61
44,2166.0,99,39,95,86
45,2247.5,97,31,99,76
46,2184.0,98,35,92,62
47,2299.5,99,55,100,68
48,2268.5,100,-1,92,67
49,2247.5,98,51,96,76
50,2312.5,100,-1,93,47
51,2207.0,99,2,92,61
52,2216.5,97,61,84,76
53,2225.0,100,-1,97,54
54,2236.5,100,-1,98,61
55,2265.0,98,7,80,75
56,2245.0,97,57,95,72
57,2268.5,98,96,96,73
58,2189.5,99,3,97,69
59,2206.5,100,-1,92,53
60,2149.5,99,1,99,67
61,2190.5,99,4,88,63
62,2145.5,99,92,92,76
63,2248.5,97,10,99,69
64,2180.0,99,96,100,65
65,2205.5,98,95,95,59
66,2207.0,100,-1,73,76
67,2196.5,100,-1,97,64
68,2296.5,99,1,99,71
69,2231.0,97,96,100,62
70,2205.0,100,-1,97,59
71,2193.5,100,-1,99,63
72,2226.0,99,1,91,74
73,2344.0,99,1,99,70
74,2251.0,100,-1,93,54
75,2211.5,99,62,100,69
76,2223.5,100,-1,97,62
77,2224.0,99,12,100,62
78,2210.0,100,-1,94,63
79,2215.5,99,1,99,66
80,2141.5,100,-1,90,57
81,2232.0,98,39,97,73
82,2234.5,99,11,100,59
83,2260.0,100,-1,94,73
84,2272.5,99,28,98,74
85,2194.5,99,1,80,59
86,2155.5,99,1,88,65
87,2257.0,98,12,98,62
88,2222.0,99,92,96,67
89,2240.0,99,1,96,60
90,2292.5,100,-1,96,63
91,2229.0,99,1,98,65
92,2185.0,99,38,97,76
93,2163.0,97,14,98,83
94,2215.0,100,-1,95,64
95,2251.5,98,53,95,61
96,2239.0,99,31,98,65
97,2170.5,99,1,94,65
98,2193.5,98,42,92,72
99,2212.5,97,27,88,71
