,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,2232.0,98,58,100,62,0.0,0.0
1,2243.0,96,46,99,55,0.0,0.0
2,2211.0,94,72,95,71,0.0,0.0
3,2211.5,99,11,100,70,0.0,0.0
4,2280.5,98,6,99,86,0.0,0.0
5,2181.5,95,78,100,73,0.0,0.0
6,2241.0,98,73,99,81,0.0,0.0
7,2186.0,99,89,99,77,0.0,0.0
8,2205.0,96,91,99,68,0.0,0.0
9,2303.0,98,78,99,68,0.0,0.0
10,2251.5,98,59,100,80,0.0,0.0
11,2241.5,96,68,100,79,0.0,0.0
12,2210.5,96,24,100,74,0.0,0.0
13,2280.5,95,94,100,76,0.0,0.0
14,2178.0,97,15,99,69,0.0,0.0
15,2274.0,98,5,100,79,0.0,0.0
16,2214.0,99,3,98,70,0.0,0.0
17,2247.0,98,62,99,74,0.0,0.0
18,2266.0,97,52,99,82,0.0,0.0
19,2220.5,96,88,100,69,0.0,0.0
20,2222.5,96,48,99,76,0.0,0.0
21,2200.5,98,60,98,72,0.0,0.0
22,2273.0,100,-1,100,64,0.0,0.0
23,2193.0,100,-1,98,65,0.0,0.0
24,2266.5,97,18,100,70,0.0,0.0
25,2235.5,97,73,96,65,0.0,0.0
26,2211.5,100,-1,95,73,0.0,0.0
27,2215.5,99,1,97,75,0.0,0.0
28,2249.0,100,-1,100,65,0.0,0.0
29,2256.5,97,12,98,77,0.0,0.0
30,2212.5,98,30,100,75,0.0,0.0
31,2231.5,98,80,99,63,0.0,0.0
32,2213.5,98,19,100,68,0.0,0.0
33,2217.5,98,12,100,75,0.0,0.0
34,2280.0,100,-1,100,55,0.0,0.0
35,2148.0,99,64,100,70,0.0,0.0
36,2232.5,99,18,100,64,0.0,0.0
37,2178.5,98,94,97,56,0.0,0.0
38,2188.5,99,1,99,79,0.0,0.0
39,2236.5,100,-1,97,59,0.0,0.0
40,2172.5,97,45,100,70,0.0,0.0
41,2266.0,96,75,100,70,0.0,0.0
42,2246.5,97,64,97,66,0.0,0.0
43,2243.5,96,71,98,66,0.0,0.0
44,2210.5,99,1,100,64,0.0,0.0
45,2286.0,97,86,100,65,0.0,0.0
46,2219.0,97,24,98,86,0.0,0.0
47,2217.5,94,16,98,81,0.0,0.0
48,2221.5,98,74,100,76,0.0,0.0
49,2189.0,98,54,99,67,0.0,0.0
50,2210.5,98,27,100,80,0.0,0.0
51,2228.5,96,88,100,89,0.0,0.0
52,2251.5,99,49,96,74,0.0,0.0
53,2273.0,97,97,99,78,0.0,0.0
54,2230.5,98,51,100,77,0.0,0.0
55,2170.0,97,66,99,63,0.0,0.0
56,2123.0,98,67,100,80,0.0,0.0
57,2220.0,100,-1,99,70,0.0,0.0
58,2198.5,98,51,100,61,0.0,0.0
59,2232.0,100,-1,100,77,0.0,0.0
60,2234.5,98,67,99,82,0.0,0.0
61,2231.5,97,15,96,77,0.0,0.0
62,2149.0,99,1,96,77,0.0,0.0
63,2255.0,99,97,100,65,0.0,0.0
64,2224.5,97,82,99,85,0.0,0.0
65,2294.5,98,17,94,79,0.0,0.0
66,2211.0,96,64,98,77,0.0,0.0
67,2217.0,97,45,100,83,0.0,0.0
68,2313.5,98,60,100,82,0.0,0.0
69,2173.0,96,25,100,65,0.0,0.0
70,2257.5,97,66,100,73,0.0,0.0
71,2203.5,99,1,94,70,0.0,0.0
72,2136.0,97,77,97,69,0.0,0.0
73,2261.0,96,20,99,73,0.0,0.0
74,2225.0,99,1,100,72,0.0,0.0
75,2336.0,100,-1,100,72,0.0,0.0
76,2261.0,98,75,100,74,0.0,0.0
77,2174.0,100,-1,98,62,0.0,0.0
78,2129.5,98,41,96,74,0.0,0.0
79,2192.0,98,75,100,74,0.0,0.0
80,2244.5,98,93,97,74,0.0,0.0
81,2276.5,98,5,99,68,0.0,0.0
82,2231.5,96,81,99,81,0.0,0.0
83,2204.0,99,1,100,73,0.0,0.0
84,2175.0,97,92,99,73,0.0,0.0
85,2240.0,95,67,97,69,0.0,0.0
86,2273.5,96,100,100,67,0.0,0.0
87,2206.0,99,4,97,64,0.0,0.0
88,2231.5,99,56,99,66,0.0,0.0
89,2213.0,99,21,99,75,0.0,0.0
90,2173.5,96,25,96,71,0.0,0.0
91,2221.5,99,10,99,75,0.0,0.0
92,2180.0,97,93,100,70,0.0,0.0
93,2230.5,96,97,99,66,0.0,0.0
94,2149.5,97,73,99,73,0.0,0.0
95,2201.0,97,82,96,70,0.0,0.0
96,2212.5,97,35,99,78,0.0,0.0
97,2223.0,96,94,100,70,0.0,0.0
98,2221.5,98,79,96,70,0.0,0.0
99,2223.0,98,84,100,70,0.0,0.0
0,2283.5,95,100,100,81,0.0,0.02
1,2291.0,97,86,100,68,0.0,0.02
2,2227.5,99,1,97,79,0.0,0.02
3,2208.5,99,8,100,67,0.0,0.02
4,2183.5,97,77,100,63,0.0,0.02
5,2143.0,99,1,100,65,0.0,0.02
6,2216.0,97,67,100,70,0.0,0.02
7,2246.0,97,34,98,65,0.0,0.02
8,2182.0,100,-1,96,67,0.0,0.02
9,2268.0,97,91,99,67,0.0,0.02
10,2280.0,99,81,97,82,0.0,0.02
11,2229.5,98,3,99,70,0.0,0.02
12,2213.5,99,5,100,72,0.0,0.02
13,2292.5,98,72,100,63,0.0,0.02
14,2227.0,99,13,100,68,0.0,0.02
15,2185.0,95,24,97,79,0.0,0.02
16,2289.5,99,35,100,80,0.0,0.02
17,2169.5,97,53,99,70,0.0,0.02
18,2259.5,99,47,98,69,0.0,0.02
