,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,2267.0,97,53,91,67,0.0,0.0
1,2221.0,98,49,100,75,0.0,0.0
2,2206.5,100,-1,98,62,0.0,0.0
3,2191.0,97,58,99,85,0.0,0.0
4,2255.5,98,56,98,78,0.0,0.0
5,2197.0,97,99,99,77,0.0,0.0
6,2172.5,98,25,99,74,0.0,0.0
7,2135.0,94,97,98,72,0.0,0.0
8,2237.5,97,31,98,73,0.0,0.0
9,2110.5,96,19,100,80,0.0,0.0
10,2246.5,100,-1,100,75,0.0,0.0
11,2235.0,94,72,98,76,0.0,0.0
12,2170.5,96,80,98,66,0.0,0.0
13,2255.0,99,66,99,59,0.0,0.0
14,2186.0,99,1,100,75,0.0,0.0
15,2218.5,99,47,98,84,0.0,0.0
16,2299.5,99,69,98,83,0.0,0.0
17,2239.5,97,96,100,71,0.0,0.0
18,2239.0,100,-1,100,81,0.0,0.0
19,2257.0,99,51,99,65,0.0,0.0
20,2207.5,99,5,98,69,0.0,0.0
21,2253.5,96,34,100,77,0.0,0.0
22,2267.0,98,49,98,61,0.0,0.0
23,2249.5,99,36,99,71,0.0,0.0
24,2266.5,99,27,100,58,0.0,0.0
25,2277.0,97,10,99,61,0.0,0.0
26,2195.0,96,54,100,75,0.0,0.0
27,2264.5,97,100,100,69,0.0,0.0
28,2140.0,97,37,99,65,0.0,0.0
29,2249.0,99,75,100,71,0.0,0.0
30,2264.0,99,1,98,67,0.0,0.0
31,2224.0,98,8,96,69,0.0,0.0
32,2208.5,98,100,100,61,0.0,0.0
33,2312.0,99,81,96,72,0.0,0.0
34,2200.5,98,87,99,85,0.0,0.0
35,2231.0,98,7,99,84,0.0,0.0
36,2174.5,98,6,98,76,0.0,0.0
37,2281.0,97,95,99,64,0.0,0.0
38,2253.5,98,99,99,63,0.0,0.0
39,2265.0,99,1,100,71,0.0,0.0
40,2248.5,99,8,98,79,0.0,0.0
41,2247.5,98,51,99,58,0.0,0.0
42,2245.0,94,72,99,92,0.0,0.0
43,2202.5,98,48,100,84,0.0,0.0
44,2247.0,97,86,99,103,0.0,0.0
45,2239.0,99,7,100,69,0.0,0.0
46,2271.0,99,1,97,69,0.0,0.0
47,2176.0,98,44,100,73,0.0,0.0
48,2180.0,98,86,100,67,0.0,0.0
49,2277.5,98,56,96,75,0.0,0.0
50,2261.0,97,83,100,76,0.0,0.0
51,2186.0,98,20,92,68,0.0,0.0
52,2198.0,99,33,99,84,0.0,0.0
53,2207.5,98,74,100,81,0.0,0.0
54,2231.0,98,6,98,82,0.0,0.0
55,2158.0,95,91,99,66,0.0,0.0
56,2207.5,98,44,98,73,0.0,0.0
57,2239.0,98,62,98,65,0.0,0.0
58,2094.0,96,94,100,79,0.0,0.0
59,2220.5,97,37,100,74,0.0,0.0
60,2202.0,97,98,100,70,0.0,0.0
61,2142.0,99,86,96,68,0.0,0.0
62,2330.5,99,58,98,87,0.0,0.0
63,2214.5,97,99,98,79,0.0,0.0
64,2212.5,98,43,100,62,0.0,0.0
65,2257.0,100,-1,100,69,0.0,0.0
66,2260.0,98,54,98,68,0.0,0.0
67,2239.0,98,17,100,81,0.0,0.0
68,2230.5,100,-1,97,64,0.0,0.0
69,2204.0,99,91,100,73,0.0,0.0
70,2222.5,97,24,97,77,0.0,0.0
71,2239.5,98,57,100,72,0.0,0.0
72,2254.0,97,71,97,74,0.0,0.0
73,2204.0,99,30,100,79,0.0,0.0
74,2255.5,98,97,97,73,0.0,0.0
75,2275.5,96,84,100,72,0.0,0.0
76,2271.0,99,43,100,73,0.0,0.0
77,2236.5,99,16,100,70,0.0,0.0
78,2250.5,99,17,98,76,0.0,0.0
79,2219.5,98,68,100,70,0.0,0.0
80,2287.5,98,4,100,74,0.0,0.0
81,2176.0,95,32,91,71,0.0,0.0
82,2257.0,98,63,98,68,0.0,0.0
83,2243.0,98,74,93,75,0.0,0.0
84,2182.5,97,58,98,73,0.0,0.0
85,2202.0,98,74,98,82,0.0,0.0
86,2189.0,96,92,100,77,0.0,0.0
87,2241.0,100,-1,100,74,0.0,0.0
88,2267.0,100,-1,100,62,0.0,0.0
89,2176.0,97,67,96,61,0.0,0.0
90,2207.0,95,78,96,72,0.0,0.0
91,2252.0,98,80,100,74,0.0,0.0
92,2232.0,99,1,100,71,0.0,0.0
93,2258.5,100,-1,99,70,0.0,0.0
94,2225.5,97,70,99,76,0.0,0.0
95,2251.0,97,79,100,73,0.0,0.0
96,2289.0,99,1,99,79,0.0,0.0
97,2288.0,98,9,99,67,0.0,0.0
98,2229.0,97,48,100,63,0.0,0.0
99,2262.0,98,98,98,76,0.0,0.0
0,2225.5,97,96,98,75,0.0,0.1
1,2248.0,100,-1,98,66,0.0,0.1
2,2255.0,98,3,100,73,0.0,0.1
3,2264.5,96,73,99,88,0.0,0.1
4,2306.0,98,3,99,85,0.0,0.1
5,2266.0,100,-1,100,61,0.0,0.1
6,2227.5,98,8,99,77,0.0,0.1
7,2191.5,96,47,97,70,0.0,0.1
8,2157.0,96,97,98,68,0.0,0.1
9,2269.0,100,-1,99,77,0.0,0.1
10,2235.5,99,25,100,70,0.0,0.1
11,2192.0,98,5,100,74,0.0,0.1
12,2213.0,99,19,100,77,0.0,0.1
13,2201.0,97,35,99,80,0.0,0.1
14,2152.5,99,19,96,77,0.0,0.1
15,2183.0,97,85,97,64,0.0,0.1
16,2137.0,97,20,98,73,0.0,0.1
17,2217.0,98,82,100,71,0.0,0.1
18,2303.5,98,99,99,72,0.0,0.1
19,2267.5,97,10,94,80,0.0,0.1
20,2187.0,99,33,100,73,0.0,0.1
21,2191.5,98,80,98,81,0.0,0.1
22,2208.5,98,96,97,71,0.0,0.1
23,2123.5,97,87,99,74,0.0,0.1
24,2236.0,97,87,99,68,0.0,0.1
25,2214.0,99,46,99,68,0.0,0.1
26,2267.5,98,63,100,84,0.0,0.1
27,2229.0,96,91,100,85,0.0,0.1
28,2172.0,100,-1,100,73,0.0,0.1
29,2257.0,98,47,98,72,0.0,0.1
30,2255.0,100,-1,98,66,0.0,0.1
31,2202.5,99,58,100,72,0.0,0.1
32,2283.0,100,-1,98,82,0.0,0.1
33,2132.0,96,40,100,83,0.0,0.1
34,2169.5,97,96,98,70,0.0,0.1
