,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,2238.5,100,-1,100,41,0.0,0.0
1,2336.5,98,27,100,41,0.0,0.0
2,2249.5,99,64,100,42,0.0,0.0
3,2154.0,98,53,99,35,0.0,0.0
4,2257.0,99,7,97,51,0.0,0.0
5,2143.5,98,58,100,37,0.0,0.0
6,2258.0,100,-1,100,50,0.0,0.0
7,2284.5,98,58,99,44,0.0,0.0
8,2272.0,98,39,100,43,0.0,0.0
9,2208.5,98,71,97,41,0.0,0.0
10,2265.0,98,89,96,42,0.0,0.0
11,2294.0,100,-1,96,37,0.0,0.0
12,2257.5,98,14,98,40,0.0,0.0
13,2303.5,99,1,94,36,0.0,0.0
14,2179.5,96,69,94,49,0.0,0.0
15,2226.5,99,31,99,41,0.0,0.0
16,2259.0,99,89,99,48,0.0,0.0
17,2196.5,99,59,100,38,0.0,0.0
18,2207.5,98,66,99,53,0.0,0.0
19,2181.0,98,26,99,46,0.0,0.0
20,2194.5,99,2,99,45,0.0,0.0
21,2136.5,98,81,98,40,0.0,0.0
22,2250.0,98,87,99,44,0.0,0.0
23,2362.5,100,-1,100,39,0.0,0.0
24,2222.0,99,34,98,43,0.0,0.0
25,2172.5,99,3,99,48,0.0,0.0
26,2264.0,99,1,95,50,0.0,0.0
27,2142.5,98,20,100,44,0.0,0.0
28,2233.5,97,48,98,47,0.0,0.0
29,2220.0,99,1,97,40,0.0,0.0
30,2201.5,100,-1,100,48,0.0,0.0
31,2242.5,99,55,100,47,0.0,0.0
32,2121.5,99,1,96,42,0.0,0.0
33,2141.5,97,82,96,43,0.0,0.0
34,2227.0,99,1,98,39,0.0,0.0
35,2182.5,97,17,100,43,0.0,0.0
36,2263.5,100,-1,100,38,0.0,0.0
37,2247.0,97,66,95,49,0.0,0.0
38,2241.5,96,96,97,51,0.0,0.0
39,2247.5,100,-1,98,44,0.0,0.0
40,2217.0,97,37,100,48,0.0,0.0
41,2214.5,95,80,100,41,0.0,0.0
42,2230.5,94,47,98,46,0.0,0.0
43,2206.0,97,36,100,47,0.0,0.0
44,2095.5,98,45,100,37,0.0,0.0
45,2234.5,100,-1,93,48,0.0,0.0
46,2185.0,99,1,98,41,0.0,0.0
47,2203.0,98,99,99,52,0.0,0.0
48,2254.0,99,8,99,43,0.0,0.0
49,2237.0,99,1,100,47,0.0,0.0
50,2255.0,98,9,98,48,0.0,0.0
51,2142.0,96,89,100,50,0.0,0.0
52,2267.0,99,55,100,47,0.0,0.0
53,2232.0,97,59,94,48,0.0,0.0
54,2178.0,98,85,100,47,0.0,0.0
55,2351.0,99,1,94,45,0.0,0.0
56,2292.5,95,90,99,45,0.0,0.0
57,2274.5,98,38,98,40,0.0,0.0
58,2208.0,97,67,99,43,0.0,0.0
59,2242.5,97,12,99,45,0.0,0.0
60,2211.0,98,46,100,43,0.0,0.0
61,2248.0,99,4,98,48,0.0,0.0
62,2195.5,96,91,93,44,0.0,0.0
63,2285.5,100,-1,99,45,0.0,0.0
64,2169.5,97,44,99,42,0.0,0.0
65,2180.0,97,75,95,50,0.0,0.0
66,2207.5,99,1,95,44,0.0,0.0
67,2294.0,98,28,100,46,0.0,0.0
68,2163.5,99,1,100,43,0.0,0.0
69,2281.0,98,72,100,44,0.0,0.0
70,2185.0,99,1,99,39,0.0,0.0
71,2127.0,98,59,100,51,0.0,0.0
72,2177.0,97,41,100,49,0.0,0.0
73,2224.5,99,53,98,43,0.0,0.0
74,2261.0,98,28,95,42,0.0,0.0
75,2210.5,99,64,99,42,0.0,0.0
76,2291.0,97,41,100,52,0.0,0.0
77,2304.0,99,2,100,38,0.0,0.0
78,2243.5,100,-1,95,42,0.0,0.0
79,2190.0,98,90,95,50,0.0,0.0
80,2342.5,100,-1,100,42,0.0,0.0
81,2263.5,99,45,99,48,0.0,0.0
82,2258.0,100,-1,99,41,0.0,0.0
83,2235.0,99,1,97,45,0.0,0.0
84,2197.5,99,20,97,50,0.0,0.0
85,2282.0,100,-1,89,47,0.0,0.0
86,2238.5,98,93,93,46,0.0,0.0
87,2299.5,99,7,99,47,0.0,0.0
88,2199.0,99,15,100,37,0.0,0.0
89,2305.0,100,-1,99,39,0.0,0.0
90,2239.5,100,-1,100,39,0.0,0.0
91,2256.5,97,95,98,39,0.0,0.0
92,2229.0,100,-1,94,39,0.0,0.0
93,2257.5,99,61,91,41,0.0,0.0
94,2270.5,100,-1,100,48,0.0,0.0
95,2224.5,97,13,96,48,0.0,0.0
96,2266.0,99,3,94,47,0.0,0.0
97,2251.0,100,-1,100,40,0.0,0.0
98,2210.0,97,83,91,48,0.0,0.0
99,2241.5,98,54,99,45,0.0,0.0
0,2336.0,100,-1,94,38,0.0,0.1
1,2193.0,98,74,100,45,0.0,0.1
2,2194.0,99,1,100,46,0.0,0.1
3,2305.0,97,69,100,53,0.0,0.1
4,2222.5,99,23,97,38,0.0,0.1
5,2278.0,100,-1,94,40,0.0,0.1
6,2237.5,97,80,95,39,0.0,0.1
7,2162.5,97,85,100,49,0.0,0.1
8,2151.0,99,1,95,41,0.0,0.1
9,2154.5,97,49,100,47,0.0,0.1
10,2215.5,98,46,96,48,0.0,0.1
11,2256.5,99,61,95,42,0.0,0.1
12,2236.5,99,53,99,45,0.0,0.1
13,2160.0,98,80,100,43,0.0,0.1
14,2193.0,100,-1,100,42,0.0,0.1
15,2212.0,99,1,100,53,0.0,0.1
16,2210.5,97,91,99,52,0.0,0.1
17,2196.0,97,66,98,50,0.0,0.1
18,2322.5,98,81,100,37,0.0,0.1
19,2270.5,98,46,99,49,0.0,0.1
20,2193.0,98,97,97,49,0.0,0.1
21,2162.5,98,10,91,39,0.0,0.1
22,2255.5,98,56,97,46,0.0,0.1
23,2321.0,98,9,99,40,0.0,0.1
24,2175.5,100,-1,100,35,0.0,0.1
25,2203.0,99,1,100,38,0.0,0.1
26,2244.0,98,55,100,47,0.0,0.1
27,2194.5,99,1,100,38,0.0,0.1
28,2233.5,100,-1,91,38,0.0,0.1
29,2278.0,100,-1,97,42,0.0,0.1
30,2350.0,100,-1,99,47,0.0,0.1
31,2219.0,98,38,100,38,0.0,0.1
32,2255.5,98,95,100,39,0.0,0.1
33,2190.0,98,39,100,41,0.0,0.1
34,2157.5,100,-1,99,38,0.0,0.1
35,2115.0,99,30,98,42,0.0,0.1
36,2243.0,97,28,97,51,0.0,0.1
37,2307.5,99,2,99,38,0.0,0.1
38,2230.0,99,3,97,41,0.0,0.1
39,2252.0,98,4,100,39,0.0,0.1
40,2138.0,98,86,100,34,0.0,0.1
41,2286.5,98,74,96,48,0.0,0.1
42,2324.0,99,4,98,45,0.0,0.1
43,2242.5,100,-1,99,36,0.0,0.1
44,2269.5,100,-1,99,50,0.0,0.1
45,2367.0,97,64,99,46,0.0,0.1
46,2143.0,100,-1,100,40,0.0,0.1
47,2195.0,100,-1,99,44,0.0,0.1
48,2206.5,99,1,95,41,0.0,0.1
49,2252.5,99,1,100,41,0.0,0.1
50,2172.0,99,9,98,43,0.0,0.1
51,2182.5,99,59,100,36,0.0,0.1
52,2245.0,99,15,100,33,0.0,0.1
53,2194.0,97,82,95,51,0.0,0.1
54,2134.5,99,2,95,45,0.0,0.1
55,2173.0,99,14,99,43,0.0,0.1
56,2199.0,100,-1,96,46,0.0,0.1
57,2255.0,99,100,100,46,0.0,0.1
58,2142.0,97,84,99,42,0.0,0.1
59,2197.5,97,61,98,44,0.0,0.1
60,2227.5,98,2,95,42,0.0,0.1
61,2202.0,99,11,100,43,0.0,0.1
62,2153.0,98,2,99,41,0.0,0.1
