,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals
0,2287.5,100,-1,66,32
1,2200.0,100,-1,15,25
2,2247.5,99,1,92,37
3,2313.0,100,-1,93,37
4,2203.0,99,1,69,39
5,2279.0,98,67,90,36
6,2176.5,99,94,94,40
7,2215.5,100,-1,99,40
8,2261.5,99,1,91,40
9,2170.5,99,1,69,38
10,2220.5,100,-1,69,32
11,2199.0,98,49,100,41
12,2219.5,98,5,96,35
13,2256.0,100,-1,83,37
14,2199.5,100,-1,77,36
15,2222.0,100,-1,94,46
16,2194.5,99,1,77,39
17,2265.5,99,1,92,33
18,2218.0,99,25,65,44
19,2242.5,99,33,96,37
20,2217.5,99,5,71,41
21,2142.5,100,-1,83,40
22,2143.0,98,66,71,37
23,2249.5,99,1,76,33
24,2233.5,100,-1,88,31
25,2185.5,98,3,79,42
26,2261.0,100,-1,99,41
27,2243.5,100,-1,85,44
28,2301.5,100,-1,98,42
29,2198.5,100,-1,69,34
30,2223.0,99,21,75,39
31,2189.0,100,-1,93,47
32,2286.5,100,-1,98,32
33,2203.5,100,-1,99,38
34,2256.0,100,-1,80,33
35,2230.5,100,-1,74,31
36,2191.0,99,33,97,44
37,2183.0,99,2,97,41
38,2251.0,99,1,81,38
39,2242.0,100,-1,98,47
40,2246.0,99,79,80,38
41,2286.5,100,-1,96,41
42,2234.5,99,1,82,32
43,2182.0,99,73,93,35
44,2287.5,100,-1,87,35
45,2140.0,99,1,94,42
46,2189.5,99,2,95,39
47,2193.0,100,-1,99,47
48,2238.5,100,-1,98,44
49,2279.5,100,-1,64,33
50,2188.5,98,48,77,28
51,2190.5,97,9,89,46
52,2129.5,98,68,66,40
53,2228.0,100,-1,97,31
54,2294.5,100,-1,91,34
55,2213.0,100,-1,87,38
56,2226.5,100,-1,84,32
57,2243.5,99,1,59,39
58,2192.0,100,-1,87,32
59,2204.0,99,39,94,39
60,2215.5,100,-1,90,38
61,2305.5,100,-1,61,31
62,2268.0,99,1,89,42
63,2211.5,100,-1,89,41
64,2274.5,99,1,81,34
65,2264.5,99,5,100,41
66,2169.5,99,77,77,23
67,2222.0,100,-1,92,36
68,2228.5,99,50,81,54
69,2291.0,100,-1,89,41
70,2205.0,100,-1,70,38
71,2165.0,99,46,90,37
72,2237.5,100,-1,97,38
73,2173.5,100,-1,100,42
74,2299.0,100,-1,100,36
75,2233.0,100,-1,83,30
76,2253.0,100,-1,76,35
77,2275.5,100,-1,60,31
78,2326.5,100,-1,100,39
79,2194.5,100,-1,96,36
80,2209.5,99,1,71,36
81,2211.5,99,6,96,48
82,2291.0,97,22,98,49
83,2244.5,99,1,88,44
84,2222.5,99,1,71,33
85,2190.5,100,-1,100,40
86,2238.5,99,1,96,36
87,2202.5,97,63,78,42
88,2190.5,100,-1,93,31
89,2231.5,100,-1,54,34
90,2245.5,100,-1,79,34
91,2194.5,98,63,98,45
92,2201.0,99,7,98,47
93,2227.0,99,1,64,44
94,2193.5,99,1,92,29
95,2282.5,100,-1,83,35
96,2250.0,100,-1,99,39
97,2217.5,100,-1,98,30
98,2151.0,100,-1,90,38
99,2207.0,99,4,81,37
