,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,879.0,3,100,100,53,0.0,0.0
1,1577.0,4,100,100,60,0.0,0.0
2,1335.0,5,100,100,52,0.0,0.0
3,556.5,5,100,100,58,0.0,0.0
4,1346.0,3,100,100,51,0.0,0.0
5,1111.5,7,100,100,65,0.0,0.0
6,31.0,1,100,100,60,0.0,0.0
7,1067.5,11,100,100,55,0.0,0.0
8,1381.0,3,100,100,59,0.0,0.0
9,1127.0,40,98,100,52,0.0,0.0
10,1533.5,7,100,100,58,0.0,0.0
11,1352.0,4,100,100,57,0.0,0.0
12,719.0,4,100,100,49,0.0,0.0
13,1311.0,4,100,100,66,0.0,0.0
14,1526.0,7,100,100,53,0.0,0.0
15,1591.5,5,100,100,53,0.0,0.0
16,935.5,3,100,100,66,0.0,0.0
17,1664.5,5,100,100,55,0.0,0.0
18,1347.5,5,100,100,62,0.0,0.0
19,1009.5,2,100,100,55,0.0,0.0
20,1710.5,7,100,100,54,0.0,0.0
21,266.0,0,100,100,56,0.0,0.0
22,522.5,7,100,100,57,0.0,0.0
23,368.5,2,100,100,54,0.0,0.0
24,239.5,0,100,100,62,0.0,0.0
25,924.0,2,100,100,63,0.0,0.0
26,814.0,5,100,100,62,0.0,0.0
27,979.5,1,100,100,52,0.0,0.0
28,1322.5,5,100,100,63,0.0,0.0
29,1491.5,0,100,100,60,0.0,0.0
30,1516.0,3,100,100,60,0.0,0.0
31,1213.5,4,100,100,61,0.0,0.0
32,806.0,3,100,100,53,0.0,0.0
33,1340.5,5,100,100,63,0.0,0.0
34,1071.0,25,100,100,51,0.0,0.0
35,771.0,6,99,99,57,0.0,0.0
36,1278.0,11,100,100,51,0.0,0.0
37,1547.0,4,100,100,56,0.0,0.0
38,1471.5,3,100,100,60,0.0,0.0
39,1491.0,4,100,100,51,0.0,0.0
40,1338.5,3,100,100,62,0.0,0.0
41,759.0,11,100,100,59,0.0,0.0
42,611.0,5,100,100,69,0.0,0.0
43,1294.5,4,100,100,56,0.0,0.0
44,1032.5,2,100,100,56,0.0,0.0
45,764.5,5,100,100,61,0.0,0.0
46,1754.5,4,100,100,49,0.0,0.0
47,486.5,2,100,100,58,0.0,0.0
48,550.5,0,100,100,56,0.0,0.0
49,35.5,4,100,100,60,0.0,0.0
50,985.5,22,100,100,63,0.0,0.0
51,1303.0,4,100,100,64,0.0,0.0
52,850.0,14,100,100,55,0.0,0.0
53,1396.5,6,100,100,64,0.0,0.0
54,214.5,10,100,99,61,0.0,0.0
55,572.5,9,100,100,56,0.0,0.0
