,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals
0,4.0,0,100,99,54
1,6.5,0,100,100,58
2,32.5,1,100,90,44
3,8.0,0,100,99,46
4,19.5,0,100,98,57
5,89.5,0,100,100,58
6,78.0,0,100,99,59
7,401.5,9,100,99,61
8,7.0,1,100,96,60
9,82.0,0,100,100,62
10,326.0,1,100,99,58
11,30.0,0,100,97,58
12,4.0,0,100,96,56
13,36.0,0,100,84,49
14,372.0,1,100,100,58
15,31.0,0,100,99,58
16,115.0,1,100,100,54
17,175.5,1,100,98,66
18,331.0,1,100,100,58
19,66.0,1,100,91,52
20,-1.0,0,100,100,55
21,13.5,1,100,97,57
22,52.5,0,100,100,58
23,12.0,2,100,100,64
24,38.5,1,100,99,50
25,66.5,0,100,100,59
26,76.5,1,100,95,44
27,6.5,0,100,100,50
28,103.0,1,100,100,55
29,133.0,2,100,98,62
30,23.5,1,100,99,56
31,199.0,1,100,98,51
32,25.5,0,100,100,56
33,56.5,1,100,100,58
34,161.0,2,100,95,53
35,25.0,0,100,97,51
36,-22.0,0,100,100,60
37,46.0,0,100,95,55
38,92.0,2,100,98,51
39,796.0,0,100,99,59
40,268.0,0,100,95,61
41,147.0,0,100,100,57
42,-8.0,0,100,99,60
43,111.0,0,100,99,67
44,165.5,0,100,100,58
45,118.0,0,100,94,62
46,68.5,0,100,97,60
47,83.0,2,100,100,51
48,102.5,0,100,96,51
49,190.0,0,100,92,62
50,304.0,3,100,99,50
51,322.0,3,100,93,56
52,-15.5,0,100,96,64
53,1.0,0,100,98,53
54,175.0,0,100,99,47
55,38.0,1,100,100,56
56,17.5,0,100,93,53
57,209.0,0,100,100,55
58,113.5,0,100,99,62
59,1.0,0,100,99,66
60,-15.0,0,100,98,52
61,25.5,0,100,94,48
62,139.0,0,100,99,57
63,14.0,0,100,99,60
64,97.5,1,100,98,60
65,72.0,0,100,96,62
66,287.0,1,100,89,65
67,3.5,0,100,98,56
68,12.0,0,100,98,53
69,172.5,1,100,94,59
70,6.5,0,100,92,57
71,137.0,1,100,100,47
72,31.5,0,100,99,56
73,385.5,1,100,95,53
74,4.5,0,100,96,60
75,19.5,0,100,93,62
76,90.5,0,100,95,66
77,54.0,1,100,96,59
78,58.5,2,100,93,55
79,0.5,0,100,100,57
80,76.5,3,100,99,56
81,11.0,1,100,100,46
82,123.0,3,100,99,54
83,-3.5,0,100,96,63
84,22.0,1,100,100,54
85,75.0,2,100,89,57
86,37.0,0,100,99,57
87,18.0,1,100,100,53
88,40.0,0,100,100,59
89,611.5,3,100,97,58
90,10.0,0,100,93,62
91,97.0,0,100,100,69
92,35.5,1,100,98,57
93,116.5,2,100,98,63
94,156.5,0,100,97,58
95,156.0,1,100,99,57
96,186.0,1,100,97,60
97,383.5,2,100,95,57
98,10.0,0,100,97,59
99,4.0,0,100,98,60
