,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,477.0,3,100,98,57,0.0,0.0
1,528.0,4,100,97,61,0.0,0.0
2,602.0,0,100,100,61,0.0,0.0
3,425.5,5,100,99,54,0.0,0.0
4,300.0,2,100,100,62,0.0,0.0
5,538.5,3,100,100,57,0.0,0.0
6,622.5,8,100,100,57,0.0,0.0
7,970.0,4,100,100,54,0.0,0.0
8,378.0,1,100,100,56,0.0,0.0
9,366.0,4,100,100,56,0.0,0.0
10,417.5,1,100,100,61,0.0,0.0
11,325.5,1,100,99,54,0.0,0.0
12,337.0,0,100,100,58,0.0,0.0
13,413.0,4,100,100,56,0.0,0.0
14,635.5,2,100,100,61,0.0,0.0
15,378.0,3,100,100,60,0.0,0.0
16,673.5,1,100,100,67,0.0,0.0
17,516.5,3,100,100,57,0.0,0.0
18,300.5,4,100,100,63,0.0,0.0
19,505.0,2,100,98,62,0.0,0.0
20,386.5,2,100,99,66,0.0,0.0
21,449.5,3,100,98,60,0.0,0.0
22,542.0,3,100,100,56,0.0,0.0
23,464.0,4,100,100,50,0.0,0.0
24,300.0,3,100,100,55,0.0,0.0
25,540.5,3,100,100,64,0.0,0.0
26,320.0,3,100,100,60,0.0,0.0
27,620.5,3,100,100,60,0.0,0.0
28,864.5,5,100,100,60,0.0,0.0
29,555.5,3,100,100,60,0.0,0.0
30,278.0,1,100,100,54,0.0,0.0
31,407.0,2,100,99,58,0.0,0.0
32,465.0,6,99,100,59,0.0,0.0
33,398.0,1,100,100,58,0.0,0.0
34,543.5,6,99,100,57,0.0,0.0
35,547.0,4,100,100,62,0.0,0.0
36,681.5,15,100,100,54,0.0,0.0
37,965.5,5,99,100,61,0.0,0.0
38,757.0,4,99,100,63,0.0,0.0
39,399.0,2,100,100,59,0.0,0.0
40,604.0,2,100,100,60,0.0,0.0
41,439.0,3,100,100,61,0.0,0.0
42,265.0,1,100,100,62,0.0,0.0
43,372.0,2,100,100,62,0.0,0.0
44,319.5,2,100,100,68,0.0,0.0
45,452.5,2,100,100,58,0.0,0.0
46,590.5,5,100,100,63,0.0,0.0
47,363.5,6,100,100,61,0.0,0.0
48,734.5,4,100,100,51,0.0,0.0
49,312.5,0,100,100,61,0.0,0.0
50,418.0,2,100,97,51,0.0,0.0
51,627.0,2,100,100,65,0.0,0.0
52,563.5,3,100,100,53,0.0,0.0
53,383.5,1,100,100,57,0.0,0.0
54,537.5,2,100,100,53,0.0,0.0
55,334.0,4,100,98,59,0.0,0.0
56,342.5,2,100,100,51,0.0,0.0
57,365.5,3,100,100,59,0.0,0.0
58,510.5,4,100,99,60,0.0,0.0
59,686.0,7,100,100,54,0.0,0.0
60,167.0,2,100,100,58,0.0,0.0
61,276.5,4,100,100,55,0.0,0.0
62,219.5,1,100,100,55,0.0,0.0
63,534.0,6,98,100,63,0.0,0.0
64,667.5,1,100,100,62,0.0,0.0
65,317.0,2,100,100,64,0.0,0.0
66,322.0,2,100,100,59,0.0,0.0
67,637.5,2,100,100,60,0.0,0.0
68,684.0,3,100,100,57,0.0,0.0
69,402.5,1,100,100,58,0.0,0.0
70,622.5,5,100,100,65,0.0,0.0
71,234.0,2,100,100,58,0.0,0.0
72,434.0,3,100,100,61,0.0,0.0
73,593.0,5,100,100,60,0.0,0.0
74,383.0,7,100,99,52,0.0,0.0
75,294.5,1,100,100,60,0.0,0.0
76,603.5,8,100,100,59,0.0,0.0
77,891.0,3,100,100,55,0.0,0.0
78,374.5,4,100,99,62,0.0,0.0
79,396.5,0,100,100,55,0.0,0.0
80,275.5,5,100,100,54,0.0,0.0
81,418.0,3,100,100,54,0.0,0.0
82,531.0,3,100,100,63,0.0,0.0
83,268.0,3,100,100,59,0.0,0.0
84,666.0,4,100,100,60,0.0,0.0
85,675.0,4,100,95,58,0.0,0.0
86,280.5,1,100,100,56,0.0,0.0
87,582.0,3,100,100,58,0.0,0.0
88,476.5,1,100,100,63,0.0,0.0
89,583.0,4,99,99,54,0.0,0.0
90,849.5,2,100,100,64,0.0,0.0
91,506.0,1,100,97,47,0.0,0.0
92,606.5,7,100,100,62,0.0,0.0
93,299.0,2,100,100,61,0.0,0.0
94,451.5,2,100,100,60,0.0,0.0
95,318.5,2,100,100,70,0.0,0.0
96,632.0,1,100,100,56,0.0,0.0
97,888.0,3,100,99,60,0.0,0.0
98,1119.0,2,100,100,59,0.0,0.0
99,399.5,6,100,100,53,0.0,0.0
0,345.0,2,100,100,61,0.0,0.02
1,836.0,9,100,100,53,0.0,0.02
2,373.0,4,100,100,50,0.0,0.02
3,659.5,4,100,100,51,0.0,0.02
4,325.0,1,100,100,51,0.0,0.02
5,513.5,3,100,100,57,0.0,0.02
6,352.5,5,100,100,65,0.0,0.02
7,568.5,1,100,100,61,0.0,0.02
8,180.0,2,100,100,60,0.0,0.02
9,277.5,4,100,100,62,0.0,0.02
10,286.5,2,100,100,52,0.0,0.02
11,603.0,5,100,100,54,0.0,0.02
12,313.5,5,99,99,55,0.0,0.02
13,906.0,2,100,100,65,0.0,0.02
14,297.5,3,100,99,63,0.0,0.02
15,343.0,2,100,100,65,0.0,0.02
