,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,647.5,4,100,100,56,0.0,0.0
1,695.5,8,100,100,58,0.0,0.0
2,612.5,4,100,99,62,0.0,0.0
3,420.5,3,100,100,57,0.0,0.0
4,870.0,1,100,100,57,0.0,0.0
5,169.0,2,100,100,65,0.0,0.0
6,419.0,4,100,99,53,0.0,0.0
7,607.5,1,100,100,59,0.0,0.0
8,434.5,5,99,99,52,0.0,0.0
9,494.0,3,100,100,55,0.0,0.0
10,290.5,4,100,99,58,0.0,0.0
11,505.5,7,100,100,66,0.0,0.0
12,395.0,3,100,100,56,0.0,0.0
13,485.5,4,100,99,67,0.0,0.0
14,331.0,3,100,100,54,0.0,0.0
15,738.5,4,100,100,62,0.0,0.0
16,637.0,2,100,100,53,0.0,0.0
17,317.0,1,100,100,64,0.0,0.0
18,361.5,1,100,100,65,0.0,0.0
19,457.5,1,100,100,55,0.0,0.0
20,495.0,3,100,100,63,0.0,0.0
21,271.5,2,100,100,65,0.0,0.0
22,390.0,3,100,100,64,0.0,0.0
23,709.0,4,100,100,58,0.0,0.0
24,360.5,5,100,100,60,0.0,0.0
25,226.5,2,100,100,61,0.0,0.0
26,544.0,2,100,99,53,0.0,0.0
27,445.0,3,100,98,66,0.0,0.0
28,153.0,1,100,100,54,0.0,0.0
29,565.0,3,100,100,59,0.0,0.0
30,175.0,1,100,100,53,0.0,0.0
31,781.0,1,100,100,55,0.0,0.0
32,230.5,4,100,100,57,0.0,0.0
33,506.0,3,100,100,56,0.0,0.0
34,398.0,3,100,100,55,0.0,0.0
35,403.0,5,100,100,57,0.0,0.0
36,339.0,2,100,97,66,0.0,0.0
37,430.0,4,100,100,53,0.0,0.0
38,593.0,1,100,100,64,0.0,0.0
39,248.5,1,100,99,60,0.0,0.0
40,286.0,2,100,100,50,0.0,0.0
41,851.0,2,100,100,68,0.0,0.0
42,257.5,2,100,99,62,0.0,0.0
43,790.5,5,100,100,67,0.0,0.0
44,485.0,5,100,100,57,0.0,0.0
45,504.5,3,100,100,60,0.0,0.0
46,267.0,3,100,100,65,0.0,0.0
