,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals
0,2324.0,99,1,99,45
1,2229.0,99,47,91,37
2,2210.5,99,1,98,42
3,2194.0,99,1,98,41
4,2152.5,100,-1,97,32
5,2215.0,99,1,88,34
6,2197.0,99,1,97,49
7,2270.5,100,-1,100,40
8,2230.5,99,67,84,36
9,2260.0,99,1,92,51
10,2237.5,99,2,97,43
11,2372.0,98,14,96,49
12,2243.5,98,48,87,36
13,2190.5,99,1,77,42
14,2254.0,98,14,85,42
15,2254.5,100,-1,95,40
16,2234.0,99,1,94,43
17,2214.5,99,1,98,42
18,2234.0,99,1,90,52
19,2257.5,100,-1,76,40
20,2178.0,100,-1,97,52
21,2211.5,98,35,93,46
22,2258.5,100,-1,85,51
23,2288.5,100,-1,99,43
24,2192.5,100,-1,79,51
25,2267.5,99,98,100,41
26,2238.5,99,88,88,37
27,2238.0,100,-1,90,33
28,2193.5,100,-1,92,41
29,2248.0,100,-1,94,41
30,2181.0,99,20,64,38
31,2190.5,99,1,96,41
32,2230.0,100,-1,98,57
33,2177.5,99,83,91,45
34,2223.5,99,15,92,39
35,2217.5,100,-1,60,41
36,2202.5,100,-1,91,28
37,2224.5,100,-1,87,39
38,2266.5,100,-1,85,35
39,2194.5,99,54,90,36
40,2217.5,100,-1,87,35
41,2223.0,99,1,96,43
42,2204.0,99,17,62,37
43,2236.5,99,98,99,39
44,2189.0,99,44,93,37
45,2281.5,100,-1,81,36
46,2183.5,100,-1,92,37
47,2225.0,100,-1,78,43
48,2175.0,98,20,97,41
49,2268.5,100,-1,93,38
50,2188.0,98,2,83,46
51,2261.5,99,1,94,44
52,2251.0,99,2,93,46
53,2174.5,99,36,94,44
54,2278.5,100,-1,96,42
55,2229.0,100,-1,100,47
56,2258.0,99,1,75,37
57,2191.0,100,-1,66,41
58,2173.0,98,81,86,40
59,2271.5,98,53,94,37
60,2164.5,99,1,97,30
61,2226.5,100,-1,95,47
62,2215.5,98,19,76,39
63,2202.5,98,27,50,42
64,2269.5,99,1,99,38
65,2258.5,99,1,92,51
66,2244.0,99,53,88,47
67,2239.0,100,-1,68,40
68,2221.0,100,-1,100,42
69,2217.5,100,-1,94,35
70,2241.0,100,-1,94,48
71,2220.0,100,-1,80,49
72,2216.0,99,1,87,39
73,2158.5,99,1,97,36
74,2199.5,98,8,66,39
75,2253.0,100,-1,92,43
76,2217.5,99,1,99,43
77,2168.5,99,1,92,52
78,2309.0,100,-1,93,37
79,2208.5,100,-1,88,49
80,2210.5,100,-1,67,38
81,2236.5,99,19,76,46
82,2278.0,100,-1,86,45
83,2256.0,99,1,64,35
84,2235.5,100,-1,97,43
85,2256.0,98,39,91,34
86,2296.0,99,14,91,45
87,2287.5,100,-1,98,42
88,2219.5,99,97,97,43
89,2266.5,100,-1,86,39
90,2279.0,99,2,94,42
91,2281.5,100,-1,98,41
92,2181.5,99,2,78,34
93,2181.0,99,1,86,45
94,2194.0,99,1,65,40
95,2222.0,100,-1,100,47
96,2193.5,100,-1,100,40
97,2263.0,100,-1,77,32
98,2265.0,100,-1,93,40
99,2204.0,100,-1,100,43
