,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals
0,2177.5,99,1,100,47
1,2154.5,99,61,94,40
2,2232.5,99,53,81,51
3,2190.5,99,74,85,62
4,2198.5,100,-1,93,44
5,2279.5,100,-1,92,46
6,2210.5,100,-1,99,40
7,2210.5,100,-1,93,55
8,2233.5,99,1,81,53
9,2213.0,97,37,91,52
10,2221.5,99,2,96,37
11,2215.5,100,-1,82,50
12,2277.0,100,-1,98,51
13,2195.5,99,1,97,61
14,2237.5,98,19,92,46
15,2291.5,100,-1,99,51
16,2253.5,100,-1,97,53
17,2241.5,100,-1,98,43
18,2290.5,100,-1,95,62
19,2251.5,100,-1,98,48
20,2128.5,100,-1,80,44
21,2219.5,100,-1,85,53
22,2278.5,98,84,84,48
23,2235.0,100,-1,93,42
24,2254.5,99,1,93,45
25,2239.5,100,-1,81,41
26,2240.5,100,-1,97,45
27,2223.5,99,21,97,52
28,2222.0,100,-1,97,54
29,2221.0,98,76,93,49
30,2162.5,99,56,93,52
31,2178.5,99,9,98,56
32,2224.5,100,-1,97,43
33,2214.0,99,1,84,53
34,2270.5,100,-1,96,57
35,2142.5,100,-1,80,46
36,2226.0,100,-1,98,43
37,2208.5,99,1,99,62
38,2241.0,99,42,96,56
39,2221.0,100,-1,80,50
40,2221.0,99,1,78,42
41,2215.0,99,57,80,49
42,2267.5,100,-1,87,54
43,2214.5,99,1,85,54
44,2178.5,99,2,99,52
45,2246.0,100,-1,96,53
46,2177.0,97,96,99,50
47,2154.0,99,1,79,49
48,2190.0,100,-1,81,46
49,2277.0,100,-1,81,49
50,2154.0,99,1,88,55
51,2278.0,97,64,97,44
52,2303.5,100,-1,100,52
53,2228.5,100,-1,87,44
54,2188.5,100,-1,98,52
55,2157.0,99,84,89,48
56,2140.0,99,1,97,46
57,2158.0,100,-1,100,54
58,2227.5,98,59,97,50
59,2236.5,99,1,93,45
60,2252.5,99,78,100,55
61,2198.0,100,-1,84,52
62,2296.0,100,-1,91,54
63,2229.0,100,-1,74,53
64,2215.5,99,40,100,48
65,2197.5,100,-1,88,50
66,2208.5,100,-1,80,45
67,2284.0,99,1,70,53
68,2189.0,100,-1,82,41
69,2101.0,98,66,92,52
70,2223.0,99,18,96,49
71,2249.0,99,66,100,54
72,2209.5,100,-1,92,52
73,2184.5,99,7,100,50
74,2247.5,100,-1,51,49
75,2289.5,100,-1,97,52
76,2194.0,100,-1,99,46
77,2267.5,99,1,100,45
78,2273.0,100,-1,88,51
79,2327.0,100,-1,100,49
80,2284.5,100,-1,88,42
81,2255.5,99,1,100,59
82,2276.0,99,1,97,51
83,2194.0,98,62,99,44
84,2278.5,97,9,99,44
85,2132.5,99,1,94,46
86,2189.5,99,1,98,43
87,2214.5,100,-1,96,43
88,2186.0,99,3,91,41
89,2201.0,99,73,98,49
90,2250.0,100,-1,100,47
91,2153.5,98,89,89,36
92,2171.5,99,5,87,42
93,2182.5,100,-1,90,45
94,2259.5,100,-1,100,49
95,2175.5,99,1,99,50
96,2180.0,99,1,95,39
97,2144.5,99,68,100,50
98,2260.0,100,-1,82,46
99,2164.0,99,2,86,50
