,reward_sum,n_dest_reached,last_dest_fail,last_penalty,len_qvals,alpha,gamma
0,2296.5,93,98,98,69,0.0,0.0
1,2222.0,99,1,97,51,0.0,0.0
2,2292.0,99,1,99,64,0.0,0.0
3,2218.0,96,70,98,61,0.0,0.0
4,2192.5,98,36,100,59,0.0,0.0
5,2230.5,99,4,100,60,0.0,0.0
6,2099.0,98,50,100,50,0.0,0.0
7,2185.0,99,64,97,52,0.0,0.0
8,2176.0,99,25,100,58,0.0,0.0
9,2258.5,97,99,99,60,0.0,0.0
10,2113.0,99,43,100,60,0.0,0.0
11,2281.0,96,47,100,62,0.0,0.0
12,2185.0,99,1,99,50,0.0,0.0
13,2267.0,97,60,98,65,0.0,0.0
14,2272.0,98,11,98,58,0.0,0.0
15,2171.0,97,87,99,56,0.0,0.0
16,2233.5,99,98,98,38,0.0,0.0
17,2147.5,96,83,99,61,0.0,0.0
18,2235.0,100,-1,100,49,0.0,0.0
19,2207.0,98,16,97,54,0.0,0.0
20,2277.5,99,71,100,59,0.0,0.0
21,2201.5,97,68,95,54,0.0,0.0
22,2187.5,97,83,96,63,0.0,0.0
23,2216.5,99,26,100,57,0.0,0.0
24,2128.0,100,-1,97,64,0.0,0.0
25,2237.5,97,33,100,49,0.0,0.0
26,2182.5,98,74,99,63,0.0,0.0
27,2363.0,100,-1,100,51,0.0,0.0
28,2195.5,99,1,100,57,0.0,0.0
29,2274.0,99,1,98,65,0.0,0.0
30,2159.0,98,59,94,48,0.0,0.0
31,2184.0,99,75,91,52,0.0,0.0
32,2272.0,96,83,98,54,0.0,0.0
33,2188.0,96,82,100,62,0.0,0.0
34,2215.0,100,-1,100,50,0.0,0.0
35,2174.5,98,46,97,59,0.0,0.0
36,2273.5,96,96,99,67,0.0,0.0
37,2228.0,97,98,95,52,0.0,0.0
38,2193.5,95,84,100,60,0.0,0.0
39,2241.0,100,-1,98,61,0.0,0.0
40,2301.0,100,-1,92,47,0.0,0.0
41,2229.0,98,80,100,62,0.0,0.0
42,2184.0,99,1,92,54,0.0,0.0
43,2221.0,97,74,98,54,0.0,0.0
44,2166.5,98,5,99,56,0.0,0.0
45,2169.0,98,86,98,56,0.0,0.0
46,2281.0,99,80,100,54,0.0,0.0
47,2235.0,99,1,100,51,0.0,0.0
48,2263.5,99,1,95,50,0.0,0.0
49,2166.5,98,51,99,60,0.0,0.0
50,2189.5,97,63,99,59,0.0,0.0
51,2239.5,98,38,100,64,0.0,0.0
52,2183.5,99,100,100,62,0.0,0.0
53,2362.0,99,4,98,64,0.0,0.0
54,2177.0,98,82,100,48,0.0,0.0
55,2307.5,98,51,99,46,0.0,0.0
56,2212.0,100,-1,98,51,0.0,0.0
57,2150.0,99,1,99,56,0.0,0.0
58,2214.5,99,35,98,57,0.0,0.0
59,2327.0,100,-1,100,62,0.0,0.0
60,2221.0,100,-1,98,48,0.0,0.0
61,2216.0,98,87,100,64,0.0,0.0
62,2213.5,99,19,98,54,0.0,0.0
63,2238.5,98,74,100,57,0.0,0.0
64,2161.5,98,60,99,47,0.0,0.0
65,2280.5,100,-1,100,51,0.0,0.0
66,2245.5,99,4,99,57,0.0,0.0
67,2222.0,98,67,95,49,0.0,0.0
68,2202.5,99,1,98,57,0.0,0.0
69,2253.0,98,53,96,55,0.0,0.0
70,2184.0,98,2,99,63,0.0,0.0
71,2272.0,98,66,100,59,0.0,0.0
72,2239.5,98,78,98,65,0.0,0.0
73,2231.5,98,72,99,51,0.0,0.0
74,2192.5,97,83,99,56,0.0,0.0
75,2149.5,98,73,100,57,0.0,0.0
76,2348.0,98,11,100,68,0.0,0.0
77,2249.0,97,60,95,59,0.0,0.0
78,2181.0,99,9,100,59,0.0,0.0
79,2167.0,98,78,100,61,0.0,0.0
80,2226.5,99,18,99,55,0.0,0.0
81,2243.5,98,22,99,56,0.0,0.0
82,2184.5,97,55,98,45,0.0,0.0
83,2239.5,98,100,98,61,0.0,0.0
84,2271.0,100,-1,97,56,0.0,0.0
85,2172.0,98,47,97,59,0.0,0.0
86,2262.0,97,88,95,60,0.0,0.0
87,2222.0,99,17,100,58,0.0,0.0
